season,vq1,vq1a,vq1b,vq1c,vq1d,vq1e,vq2,vq2a_1,vq2a_2,vq2a_3,vq2a_4,vq2a_5,vq17,vq17_1,vq17_2,vq17_3,vq17_4,vq17_5,vq17_6,vq17_7,vq17_8,vq17_9,vq17_10,vq17_11,vq17_12,vq17_13,vq17a1_1,vq17a1_2,vq17a1_3,vq17a2_1,vq17a2_2,vq17a2_3,vq17a2_4,vq17a3_1,vq17a3_2,vq17a3_3,vq17a3_4,vq17a4_1,vq17a4_2,vq17a4_3,vq17a4_4,vq17a5_1,vq17a5_2,vq17a5_3,vq17a6_1,vq17a6_2,vq17a6_3,vq17a6_4,vq17a6_5,vq17a7_1,vq17a7_2,vq17a7_3,vq17a8_1,vq17a8_2,vq17a8_3,vq17a8_4,vq17a8_5,vq17a9_1,vq17a9_2,vq17a9_3,vq17a10_1,vq17a10_2,vq17a11_1,vq17a11_2,vq17a11_3,vq17a11_4,vq17a12_1,vq17a12_2,vq17a13_1,vq17a13_2,vq18,vq18a_1,vq18a_2,vq18a_3,vq18a_4,vq18a_5,vq18b_1,vq18b_2,vq18b_3,vq18b_4,vq18b5,vq18_1,vq18_1a_1,vq18_1a_2,vq18_1a_3,vq18_1a_4,vq18_1a_5,vq18_1a_6,vq19,vq19a,vq19_1,vq19_1a_1,vq19_1a_2,vq19_1a_3,vq19_1a_4,vq19_1a_5,vq19_1a_6,vq20,vq21,vq31,vb1,vb2,vb3,vb4,vb5,vb6,vb7,q1_year,weight
3,1,1,0,0,0,0,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,1,,,,,,,12,,1,,,,,,,0,,1,9,4,13,2,7,18,1,,0.759448
2,1,1,0,0,0,0,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,,,1,,,,,,,9,,1,,,,,,,0,,6,9,4,13,2,7,18,1,,0.790307
1,1,1,0,0,0,0,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,2,6,,,,,,12,,1,,,,,,,0,,1,9,4,13,2,2,18,1,,0.782816
2,0,0,0,0,0,0,12,1,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,5,,,,,,,,,,11,1,,,,,,,,,,6,6,5,6,1,5,2,1,,1.354005
1,2,2,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,4,,,2,2,4,,,,,11,1,,,,,,,,,,6,6,5,6,1,5,2,1,,1.369275
3,1,1,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,11,2,,,,,,,,,,6,9,3,10,2,4,1,2,,0.652503
2,0,0,0,0,0,0,12,1,3,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,5,6,,,,,,,,,4,,1,,,,,,,0,,6,9,3,11,2,1,1,2,,0.699372
1,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,11,1,,,,,,,,,,6,9,3,10,2,7,1,2,,0.714012
1,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3,,1,,,,,,,0,,6,2,3,14,1,1,2,1,,1.426173
4,12,4,8,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,11,2,,,,,,,,,,6,6,6,3,2,8,1,1,1,1.460041
3,5,2,3,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,4,,,2,2,4,6,,,,9,,2,2,5,6,7,8,,0,,6,6,6,3,2,8,1,1,,1.284177
2,2,0,2,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,1,,,,,,,11,1,,,,,,,,,,6,6,6,3,2,8,1,1,,1.364349
1,10,5,5,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,12,,2,1,5,6,,,,0,,1,6,6,3,2,8,1,1,,1.37566
2,0,0,0,0,0,0,12,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,4,,,,,,,,,10,,1,,,,,,,0,,6,6,5,11,2,7,10,2,,0.969914
1,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,11,1,,,,,,,,,,6,6,5,11,2,1,10,2,,0.952729
1,0,0,0,0,0,0,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,11,1,,,,,,,,,,6,1,1,14,1,1,2,2,,3.045336
4,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,4,,2,3,6,7,8,,,0,,6,11,1,7,2,4,4,1,1,0.733707
3,1,0,0,1,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,11,2,,,,,,,,,,6,11,1,7,2,5,4,1,,0.802076
2,2,2,0,0,0,0,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,6,,1,,,,,,,4,,2,1,5,6,,,,0,,6,11,1,7,2,5,4,1,,0.900834
1,3,3,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,9,,1,,,,,,,0,,6,11,1,7,2,3,4,1,,0.918071
1,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,11,2,,,,,,,,,,6,8,1,11,3,1,2,2,,0.842576
1,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,11,2,,,,,,,,,,6,3,5,14,1,6,4,1,,1.340373
1,12,0,12,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,4,5,2,3,4,5,6,,,11,1,,,,,,,,,,6,5,5,3,2,6,4,2,,0.919023
