season,vq22,vq22a,vq23,vq23_1,vq24_1,vq24_2,vq24_3,vq24_4,vq24_5,vq24_6,vq24_7,vq24_8,vq24_9,vq24_10,vq25,vq26,vq26a_1,vq26a_2,vq26b,vq27,vq27a_1,vq27a_2,vq27a_3,vq27a_4,vq27a_5,vq28,vq28a_1,vq28a_2,vq28a_3,vq28a_4,vq28a_5,vq29,vq29a_1,vq29a_2,vq29a_3,vq29a_4,vq30,vq30a,q30,q30a,vq30b,vq30b_1_1,vq30b_1_2,vq30b_1_3,vq30b_1_4,vq30b_1_5,vq30c,vq30d,vq30e,vq30e_1_1,vq30e_1_2,vq30e_1_3,vq30e_1_4,vq30e_1_5,vb1,vb2,vb3,vb4,vb5,vb6,vb7,w
1,5,4,1,1,12,,,,,,,,,,1,3,,2,4,4,,,,,,1,4,,,,,2,,,,,3,0,15000,0,1,,,,,,1,3,1,,,,,,6,5,11,2,2,3,2,0.439004
1,5,4,1,2,5,,,,,,,,,,1,3,,1,3,4,,,,,,1,2,,,,,2,,,,,3,0,15000,0,3,4,5,,,,5,5,1,,,,,,3,5,14,1,2,1,2,0.504488
1,5,4,1,2,4,,,,,,,,,,1,3,,2,3,4,,,,,,1,2,,,,,2,,,,,3,0,15000,0,1,,,,,,6,7,1,,,,,,5,5,12,1,6,1,2,0.620812
1,8,7,1,1,5,,,,,,,,,,1,1,1,,7,4,,,,,,2,,,,,,2,,,,,3,0,15000,0,1,,,,,,1,2,1,,,,,,3,5,6,1,3,6,2,0.802349
1,3,2,1,1,3,,,,,,,,,,1,3,,2,10,4,,,,,,1,2,3,4,,,2,,,,,3,0,15000,0,1,,,,,,6,2,1,,,,,,6,4,6,2,7,4,2,0.908017
1,4,3,1,2,9,,,,,,,,,,1,3,,2,4,4,,,,,,1,2,4,,,,2,,,,,3,0,15000,0,1,,,,,,8,7,1,,,,,,5,6,11,2,3,4,2,1.040761
1,4,3,1,1,12,,,,,,,,,,1,3,,2,4,4,,,,,,2,,,,,,2,,,,,3,0,15000,0,2,3,,,,,1,3,1,,,,,,4,6,5,1,7,1,1,1.053375
1,5,4,1,1,2,,,,,,,,,,1,3,,2,5,1,2,3,,,,2,,,,,,2,,,,,3,2,15000,10000,1,,,,,,5,7,1,,,,,,8,3,11,2,7,1,2,0.239919
1,4,3,1,1,13,,,,,,,,,,1,1,1,,4,1,2,4,,,,2,,,,,,2,,,,,3,3,15000,15000,1,,,,,,9,3,1,,,,,,8,3,1,2,6,1,1,0.917986
1,5,4,1,2,13,,,,,,,,,,1,3,,2,3,1,4,6,,,,2,,,,,,2,,,,,3,3,15000,15000,1,,,,,,1,4,1,,,,,,1,2,14,1,1,6,1,11.421621
4,30,29,1,2,2,,,,,,,,,,2,,,,,4,,,,,,1,2,,,,,2,,,,,4,0,20000,0,8,4,,,,,1,11,1,,,,,,9,3,13,2,8,2,1,1
1,7,6,1,1,1,,,,,,,,,,4,,,,,4,,,,,,1,2,,,,,2,,,,,4,0,20000,0,1,,,,,,1,7,1,,,,,,2,5,14,1,1,1,1,9.272691
1,6,5,1,2,9,,,,,,,,,,1,1,1,,7,4,,,,,,1,2,4,,,,2,,,,,4,0,20000,0,1,,,,,,1,3,1,,,,,,7,5,2,1,6,2,2,0.379933
1,5,4,1,2,12,,,,,,,,,,1,3,,2,5,4,,,,,,1,2,3,4,,,2,,,,,4,0,20000,0,1,,,,,,7,1,1,,,,,,6,4,11,2,1,1,2,0.437225
1,5,4,1,1,13,,,,,,,,,,1,3,,2,8,4,,,,,,1,1,2,3,4,7,2,,,,,4,0,20000,0,7,1,2,5,,,1,7,1,,,,,,6,5,11,2,9,1,2,0.437225
1,5,4,1,1,12,,,,,,,,,,1,3,,2,1,4,,,,,,2,,,,,,2,,,,,4,0,20000,0,1,,,,,,9,11,1,,,,,,5,4,5,1,5,15,2,0.619295
1,5,4,1,2,13,,,,,,,,,,1,1,1,,1,4,,,,,,1,2,4,,,,2,,,,,4,0,20000,0,1,,,,,,6,9,1,,,,,,5,5,5,2,5,4,2,0.621569
1,4,3,1,2,9,,,,,,,,,,1,1,2,,4,4,,,,,,1,2,4,,,,2,,,,,4,0,20000,0,1,,,,,,5,10,1,,,,,,5,5,5,1,5,10,2,1.044441
1,3,2,1,2,13,,,,,,,,,,1,3,,1,1,2,3,4,,,,1,2,4,6,,,2,,,,,4,2,20000,10000,3,1,5,,,,3,3,1,,,,,,3,5,14,1,2,3,2,1.050687
1,4,3,1,1,13,,,,,,,,,,1,1,2,,4,1,1,2,3,4,,2,,,,,,2,,,,,4,2,20000,10000,3,3,,,,,7,9,1,,,,,,6,3,9,2,7,4,1,1.46608
1,5,4,1,2,13,,,,,,,,,,1,3,,2,3,1,2,,,,,2,,,,,,2,,,,,4,3,20000,15000,1,,,,,,1,10,1,,,,,,6,4,5,2,6,10,2,0.439306
1,12,11,1,1,7,,,,,,,,,,1,3,,2,3,3,3,4,,,,2,,,,,,2,,,,,4,3,20000,15000,10,4,,,,,1,14,1,,,,,,7,4,8,2,5,9,1,0.997183
1,3,2,1,1,3,,,,,,,,,,1,1,1,,3,2,3,,,,,1,1,,,,,2,,,,,4,3,20000,15000,1,,,,,,5,4,1,,,,,,5,5,3,1,7,9,1,2.534756
1,5,4,1,1,9,,,,,,,,,,1,3,,2,13,1,1,2,3,5,,2,,,,,,1,1,,,,4,4,20000,20000,1,,,,,,1,3,1,,,,,,9,3,11,2,3,3,2,0.332706
1,6,5,1,2,9,,,,,,,,,,1,3,,2,3,1,2,4,,,,2,,,,,,2,,,,,4,4,20000,20000,1,,,,,,88,2,1,,,,,,10,1,13,2,3,3,2,0.521663
4,6,5,1,2,9,,,,,,,,,,1,3,,2,5,4,,,,,,1,2,4,,,,2,,,,,5,0,25000,0,1,,,,,,7,4,1,,,,,,6,4,4,1,5,10,2,1
1,5,4,1,2,9,,,,,,,,,,3,,,,,4,,,,,,1,2,,,,,2,,,,,5,0,25000,0,1,,,,,,1,1,1,,,,,,7,3,11,2,1,1,2,0.239919
1,8,7,1,1,2,,,,,,,,,,2,,,,,4,,,,,,1,2,,,,,2,,,,,5,0,25000,0,5,4,,,,,1,3,3,4,,,,,11,6,2,2,8,5,1,1.129739
1,5,4,1,1,9,,,,,,,,,,1,1,8,,4,4,,,,,,1,2,4,6,,,2,,,,,5,0,25000,0,6,2,5,,,,9,9,1,,,,,,6,5,5,1,6,3,2,0.439004
1,3,2,2,,12,,,,,,,,,,1,3,,2,7,4,,,,,,2,,,,,,2,,,,,5,0,25000,0,1,,,,,,1,6,1,,,,,,8,2,9,2,6,3,2,0.499675
1,8,7,1,2,12,,,,,,,,,,1,1,1,,7,4,,,,,,2,,,,,,2,,,,,5,0,25000,0,1,,,,,,88,7,1,,,,,,9,2,11,2,2,1,2,0.525405
1,6,5,1,2,13,,,,,,,,,,1,3,,2,5,4,,,,,,1,2,3,4,6,,2,,,,,5,0,25000,0,2,5,,,,,10,6,1,,,,,,4,5,5,1,5,2,2,0.598375
1,10,9,1,2,9,,,,,,,,,,1,3,,2,7,4,,,,,,2,,,,,,2,,,,,5,0,25000,0,1,,,,,,8,2,1,,,,,,6,5,3,1,6,3,2,0.79457
1,6,5,1,2,9,,,,,,,,,,1,1,2,,3,4,,,,,,1,1,2,4,5,6,2,,,,,5,0,25000,0,1,,,,,,9,7,1,,,,,,7,3,4,3,6,1,1,0.869301
1,5,4,1,1,12,,,,,,,,,,1,3,,2,4,4,,,,,,1,2,4,,,,2,,,,,5,0,25000,0,1,,,,,,6,8,1,,,,,,6,6,5,2,7,2,1,0.8734
1,5,4,1,2,13,,,,,,,,,,1,1,8,,5,4,,,,,,1,2,4,6,,,2,,,,,5,0,25000,0,1,,,,,,1,4,1,,,,,,5,6,3,2,9,13,1,1.217749
1,9,8,1,1,12,,,,,,,,,,1,3,,2,1,4,,,,,,1,2,3,4,6,,2,,,,,5,0,25000,0,1,,,,,,8,11,1,,,,,,6,5,12,2,8,8,1,1.585954
1,7,6,1,1,12,,,,,,,,,,1,3,,2,3,4,,,,,,1,2,3,,,,2,,,,,5,0,25000,0,3,1,,,,,8,3,1,,,,,,5,5,4,2,8,6,1,1.933983
1,5,4,1,1,4,,,,,,,,,,2,,,,,3,6,,,,,2,,,,,,2,,,,,88,88,25000,3750,1,,,,,,1,7,1,,,,,,7,6,4,2,10,6,1,0.549909
1,7,6,1,2,9,,,,,,,,,,1,1,1,,3,3,4,,,,,2,,,,,,2,,,,,88,88,25000,3750,1,,,,,,1,8,1,,,,,,3,3,8,1,6,6,1,1.755027
1,10,9,1,1,8,,,,,,,,,,3,,,,,3,4,,,,,2,,,,,,2,,,,,5,1,25000,3750,4,5,65,,,,6,7,1,,,,,,8,3,11,2,4,1,2,0.434239
1,5,4,1,1,13,,,,,,,,,,2,,,,,3,6,,,,,2,,,,,,2,,,,,5,88,25000,3750,1,,,,,,1,88,1,,,,,,4,5,4,1,5,4,1,0.629869
1,5,4,1,1,4,,,,,,,,,,1,3,,2,3,3,1,,,,,1,6,,,,,2,,,,,5,1,25000,3750,1,,,,,,7,7,1,,,,,,8,5,3,2,8,7,2,0.241807
1,5,4,1,1,12,,,,,,,,,,2,,,,,3,6,,,,,2,,,,,,2,,,,,5,2,25000,10000,1,,,,,,1,4,1,,,,,,8,6,2,2,9,2,1,0.547546
1,4,3,1,2,12,,,,,,,,,,1,3,,2,10,2,3,,,,,1,2,4,6,7,,2,,,,,5,3,25000,15000,1,,,,,,1,7,1,,,,,,5,5,12,3,5,8,2,1.041553
1,4,3,1,1,12,,,,,,,,,,1,1,1,,10,3,2,,,,,1,2,4,,,,2,,,,,5,3,25000,15000,3,2,,,,,8,4,1,,,,,,5,5,5,1,8,10,2,1.044441
1,7,6,1,2,2,4,,,,,,,,,3,,,,,3,4,,,,,2,,,,,,2,,,,,88,4,25000,20000,7,4,,,,,1,8,1,,,,,,9,3,6,3,5,3,2,0.527541
1,5,4,1,1,9,,,,,,,,,,1,3,,2,7,1,2,3,,,,2,,,,,,2,,,,,5,4,25000,20000,1,,,,,,10,7,1,,,,,,6,5,6,2,6,1,1,0.874514
1,4,3,1,1,12,,,,,,,,,,1,3,,2,3,3,3,,,,,1,4,7,,,,2,,,,,5,4,25000,20000,1,,,,,,1,1,1,,,,,,9,5,13,2,9,3,1,1.219346
1,5,4,1,1,8,,,,,,,,,,1,3,,2,8,1,4,,,,,2,,,,,,2,,,,,5,5,25000,25000,1,,,,,,88,7,1,,,,,,10,2,11,2,4,2,2,0.327249
1,7,6,1,1,4,,,,,,,,,,1,3,,1,3,1,6,,,,,2,,,,,,2,,,,,5,5,25000,25000,1,,,,,,1,1,1,,,,,,3,5,14,1,2,3,1,1.75683
1,27,26,1,1,2,,,,,,,,,,3,,,,,4,,,,,,1,2,,,,,2,,,,,6,0,30000,0,11,65,,,,,1,10,1,,,,,,7,5,13,2,6,2,1,1.988853
1,5,4,1,2,13,,,,,,,,,,1,1,1,,3,4,,,,,,1,1,2,4,,,2,,,,,6,0,30000,0,13,1,,,,,1,4,1,,,,,,7,5,1,2,8,1,2,0.239919
1,5,4,1,1,12,,,,,,,,,,1,3,,2,4,4,,,,,,2,,,,,,2,,,,,6,0,30000,0,1,,,,,,1,4,1,,,,,,9,3,11,2,6,2,2,0.330936
1,5,4,1,1,12,,,,,,,,,,1,3,,2,3,4,,,,,,2,,,,,,2,,,,,6,0,30000,0,1,,,,,,9,8,1,,,,,,9,3,11,4,3,11,2,0.333747
1,8,7,1,1,12,,,,,,,,,,1,3,,2,5,4,,,,,,1,2,4,,,,2,,,,,6,0,30000,0,1,,,,,,1,3,1,,,,,,7,4,11,2,1,3,2,0.381965
1,5,4,1,1,12,,,,,,,,,,1,1,1,,3,4,,,,,,1,2,,,,,2,,,,,6,0,30000,0,1,,,,,,1,4,1,,,,,,6,5,11,2,7,2,2,0.436668
1,5,4,1,2,9,,,,,,,,,,1,3,,2,7,4,,,,,,1,2,4,5,,,2,,,,,6,0,30000,0,1,,,,,,88,3,1,,,,,,5,5,5,1,5,1,2,0.620812
1,6,5,1,2,13,,,,,,,,,,1,1,1,,1,4,,,,,,1,2,3,4,6,,2,,,,,6,0,30000,0,6,1,2,,,,6,9,1,,,,,,6,5,1,2,5,17,2,0.653656
1,6,5,1,2,13,,,,,,,,,,1,3,,2,1,4,,,,,,1,4,,,,,2,,,,,6,0,30000,0,1,,,,,,10,7,1,,,,,,6,5,5,1,7,2,2,0.692385
1,8,7,1,2,4,,,,,,,,,,1,3,,2,10,4,,,,,,1,3,4,6,7,,2,,,,,6,0,30000,0,1,,,,,,8,4,1,,,,,,6,5,5,2,6,13,2,0.694255
1,6,5,1,1,13,,,,,,,,,,1,1,1,,3,4,,,,,,1,2,3,4,,,2,,,,,6,0,30000,0,1,,,,,,8,7,1,,,,,,6,5,11,2,1,8,2,0.694641
1,7,6,1,2,13,,,,,,,,,,1,3,,2,8,4,,,,,,1,2,3,4,5,6,2,,,,,6,0,30000,0,1,,,,,,9,2,1,,,,,,3,5,4,1,6,6,2,0.802349
1,6,5,1,1,13,,,,,,,,,,1,1,1,,3,4,,,,,,1,2,3,4,,,2,,,,,6,0,30000,0,1,,,,,,1,4,1,,,,,,11,1,13,4,4,4,2,0.828329
1,8,7,1,1,13,,,,,,,,,,1,1,1,,3,4,,,,,,1,2,4,,,,2,,,,,6,0,30000,0,1,,,,,,1,7,1,,,,,,5,5,6,1,8,2,2,0.983111
1,5,4,1,1,12,,,,,,,,,,1,3,,2,4,4,,,,,,1,2,3,4,7,,2,,,,,6,0,30000,0,1,,,,,,6,3,1,,,,,,3,5,6,1,4,6,1,1.106848
1,6,5,1,1,12,,,,,,,,,,1,3,,2,3,4,,,,,,1,4,,,,,2,,,,,6,0,30000,0,1,,,,,,88,3,1,,,,,,6,3,12,1,2,1,1,1.386637
1,6,5,1,1,12,,,,,,,,,,1,3,,2,3,4,,,,,,1,2,4,6,,,2,,,,,6,0,30000,0,1,,,,,,1,6,1,,,,,,6,5,6,1,3,1,1,1.386637
1,8,7,1,1,12,,,,,,,,,,1,3,,1,7,4,,,,,,1,2,4,,,,2,,,,,6,0,30000,0,1,,,,,,5,2,1,,,,,,3,5,14,1,2,2,1,1.747485
1,6,5,1,1,12,,,,,,,,,,1,3,,1,3,4,,,,,,1,2,4,6,,,2,,,,,6,0,30000,0,5,2,3,5,,,4,7,1,,,,,,3,6,5,1,3,6,1,1.755027
1,3,2,1,1,3,,,,,,,,,,1,2,,,7,4,,,,,,2,,,,,,2,,,,,6,0,30000,0,1,,,,,,1,8,1,,,,,,3,3,4,1,6,4,1,2.29171
1,5,4,1,2,4,,,,,,,,,,1,1,1,,3,3,3,,,,,1,2,4,7,,,2,,,,,6,1,30000,3750,1,,,,,,11,3,1,,,,,,8,4,6,2,7,3,2,0.240895
1,7,6,1,2,2,,,,,,,,,,3,,,,,3,1,4,,,,2,,,,,,2,,,,,6,2,30000,10000,7,4,,,,,1,3,1,,,,,,5,2,8,2,6,3,2,0.988369
1,15,14,1,1,2,,,,,,,,,,3,,,,,3,4,,,,,2,,,,,,2,,,,,6,2,30000,10000,1,,,,,,1,8,1,,,,,,5,3,11,2,1,5,2,1.125733
1,4,3,1,1,12,,,,,,,,,,2,,,,,3,6,,,,,1,4,,,,,2,,,,,6,2,30000,10000,1,,,,,,1,10,1,,,,,,5,6,3,2,8,3,2,1.043723
1,8,7,1,1,2,,,,,,,,,,1,3,,2,3,3,4,,,,,2,,,,,,2,,,,,6,2,30000,10000,1,,,,,,1,2,1,,,,,,8,3,11,2,1,4,2,0.380881
1,6,5,1,1,12,,,,,,,,,,1,3,,2,3,3,4,6,,,,2,,,,,,2,,,,,88,88,30000,12500,1,,,,,,7,1,1,,,,,,5,5,6,2,6,6,2,0.987354
1,5,4,1,2,13,,,,,,,,,,1,3,,2,3,1,4,6,,,,2,,,,,,2,,,,,6,3,30000,15000,5,2,3,,,,1,6,1,,,,,,6,4,3,2,6,7,2,0.440666
1,4,3,1,1,13,,,,,,,,,,1,1,1,,7,1,2,,,,,2,,,,,,2,,,,,6,3,30000,15000,1,,,,,,1,9,1,,,,,,6,3,9,2,6,10,1,1.471264
1,6,5,1,1,12,,,,,,,,,,1,3,,1,3,3,4,,,,,1,6,,,,,2,,,,,6,3,30000,15000,1,,,,,,1,9,1,,,,,,2,3,14,1,1,20,2,5.866849
1,5,4,1,2,12,,,,,,,,,,1,1,1,,6,2,3,,,,,1,4,5,,,,2,,,,,6,4,30000,20000,1,,,,,,8,2,1,,,,,,4,5,5,1,3,6,2,0.379007
1,3,2,1,1,3,,,,,,,,,,1,1,1,,4,2,2,,,,,1,2,4,,,,2,,,,,6,4,30000,20000,1,,,,,,88,9,1,,,,,,7,5,1,2,8,4,2,0.498257
1,5,4,1,1,12,,,,,,,,,,1,1,1,,7,3,3,,,,,2,,,,,,2,,,,,6,4,30000,20000,1,,,,,,1,7,1,,,,,,7,3,9,2,9,12,1,0.550159
1,5,4,1,2,13,,,,,,,,,,1,3,,2,7,1,3,4,,,,2,,,,,,2,,,,,6,4,30000,20000,1,,,,,,8,4,1,,,,,,11,3,2,2,6,1,1,0.711167
1,6,5,1,1,12,,,,,,,,,,1,1,1,,3,3,4,,,,,2,,,,,,2,,,,,6,4,30000,20000,1,,,,,,8,1,1,,,,,,5,5,5,1,5,4,2,0.985565
1,5,4,1,1,9,,,,,,,,,,1,3,,2,3,1,4,,,,,2,,,,,,2,,,,,6,5,30000,25000,1,,,,,,8,1,1,,,,,,11,1,11,2,5,1,2,0.521769
1,6,5,1,2,9,,,,,,,,,,1,3,,2,3,1,4,,,,,2,,,,,,2,,,,,6,5,30000,25000,1,,,,,,8,1,1,,,,,,10,3,13,2,8,12,1,1.045776
1,5,4,1,1,12,,,,,,,,,,1,3,,2,3,1,6,,,,,2,,,,,,2,,,,,88,88,32500,32500,1,,,,,,1,1,1,,,,,,11,1,11,2,2,4,2,0.522405
1,67,66,1,1,17,,,,,,,,,,4,,,,,4,,,,,,1,2,,,,,2,,,,,7,0,35000,0,1,,,,,,12,6,1,,,,,,4,5,12,1,2,18,2,1.728344
1,5,4,1,1,12,,,,,,,,,,3,,,,,4,,,,,,1,2,,,,,2,,,,,7,0,35000,0,1,,,,,,6,6,1,,,,,,6,3,3,1,6,1,2,0.437225
1,14,13,1,1,6,7,,,,,,,,,3,,,,,4,,,,,,1,2,,,,,2,,,,,7,0,35000,0,4,3,,,,,1,1,1,,,,,,6,5,11,2,1,3,2,0.79457
1,5,4,1,2,10,,,,,,,,,,1,1,1,,3,4,,,,,,1,2,4,,,,2,,,,,7,0,35000,0,1,,,,,,11,4,1,,,,,,8,4,5,2,6,2,2,0.239613
1,5,4,1,1,3,,,,,,,,,,1,3,,2,8,4,,,,,,1,2,3,5,,,2,,,,,7,0,35000,0,1,,,,,,1,4,1,,,,,,7,5,1,3,8,2,2,0.239613
1,5,4,1,1,12,,,,,,,,,,1,1,1,,3,4,,,,,,1,4,7,,,,2,,,,,7,0,35000,0,1,,,,,,10,4,1,,,,,,8,3,5,2,5,2,2,0.239613
1,5,4,1,1,12,,,,,,,,,,1,3,,2,3,4,,,,,,1,2,3,4,6,,2,,,,,7,88,35000,0,1,,,,,,88,88,1,,,,,,7,5,13,2,2,10,2,0.241061
1,15,14,1,1,4,10,,,,,,,,,1,3,,1,4,4,,,,,,1,2,4,,,,2,,,,,7,0,35000,0,1,,,,,,1,8,1,,,,,,8,5,1,2,8,1,2,0.434239
1,5,4,1,1,13,,,,,,,,,,1,3,,2,7,4,,,,,,1,2,4,6,,,2,,,,,7,0,35000,0,2,2,,,,,5,7,1,,,,,,6,5,5,2,6,2,2,0.436668
1,5,4,1,1,12,,,,,,,,,,1,3,,2,3,4,,,,,,1,2,3,4,6,,2,,,,,7,0,35000,0,1,,,,,,1,3,1,,,,,,3,5,12,1,2,10,2,0.506888
1,5,4,1,2,12,,,,,,,,,,1,3,,2,6,4,,,,,,1,2,3,4,,,2,,,,,7,0,35000,0,1,,,,,,5,7,1,,,,,,5,4,1,2,8,5,2,0.621972
1,4,3,1,1,12,,,,,,,,,,1,1,1,,4,4,,,,,,1,2,4,,,,2,,,,,7,0,35000,0,8,2,3,,,,1,9,1,,,,,,4,5,5,1,5,1,2,0.632693
2,5,4,1,1,9,,,,,,,,,,1,3,,2,3,4,,,,,,2,,,,,,2,,,,,7,0,35000,0,1,,,,,,8,1,1,,,,,,11,1,11,2,5,1,2,1
1,4,3,1,1,12,,,,,,,,,,1,3,,2,1,4,,,,,,1,1,2,4,,,2,,,,,7,0,35000,0,1,,,,,,1,2,1,,,,,,4,3,10,2,6,6,1,1.056574
1,5,4,1,2,12,,,,,,,,,,1,3,,2,4,4,,,,,,2,,,,,,2,,,,,7,0,35000,0,2,1,,,,,2,2,1,,,,,,3,5,12,1,2,6,1,1.106848
1,5,4,1,2,4,,,,,,,,,,1,1,1,,4,4,,,,,,2,,,,,,2,,,,,7,0,35000,0,1,,,,,,1,3,1,,,,,,5,4,5,1,6,2,1,1.214469
1,10,9,1,1,12,,,,,,,,,,1,3,,2,4,4,,,,,,1,2,3,4,7,,2,,,,,7,0,35000,0,1,,,,,,6,7,1,,,,,,6,6,2,2,7,5,1,1.585776
1,5,4,1,2,13,,,,,,,,,,1,1,1,,3,3,3,4,,,,1,1,2,4,7,,2,,,,,7,88,35000,3750,5,2,5,,,,88,6,1,,,,,,1,2,14,1,1,6,2,5.353012
1,6,5,1,2,12,,,,,,,,,,1,3,,2,3,3,3,,,,,1,2,4,,,,2,,,,,7,2,35000,10000,1,,,,,,8,4,1,,,,,,4,5,14,1,3,1,2,0.599138
1,7,6,1,1,7,,,,,,,,,,2,,,,,3,4,,,,,2,,,,,,2,,,,,7,3,35000,15000,3,4,,,,,7,10,1,,,,,,6,6,5,2,6,20,2,0.697049
1,4,3,1,1,2,,,,,,,,,,2,,,,,3,6,,,,,2,,,,,,2,,,,,7,3,35000,15000,1,,,,,,1,9,1,,,,,,6,5,2,2,9,3,2,0.735072
1,3,2,1,2,3,,,,,,,,,,1,3,,2,3,3,3,,,,,1,3,6,,,,2,,,,,7,3,35000,15000,1,,,,,,5,1,1,,,,,,7,4,4,2,8,5,2,0.49858
1,6,5,1,1,4,,,,,,,,,,1,3,,1,4,2,3,,,,,1,1,2,4,,,2,,,,,7,88,35000,15000,1,,,,,,9,1,1,,,,,,5,6,1,2,8,19,2,0.991003
1,9,8,1,1,12,,,,,,,,,,1,1,1,,3,2,6,,,,,2,,,,,,2,,,,,7,88,35000,17500,1,,,,,,88,9,1,,,,,,11,3,11,4,6,4,2,0.945521
1,3,2,1,2,2,,,,,,,,,,2,,,,,3,2,3,,,,2,,,,,,2,,,,,7,4,35000,20000,1,,,,,,11,7,1,,,,,,7,5,2,2,10,1,1,1.137192
1,4,3,1,1,12,,,,,,,,,,1,3,,2,3,1,2,3,4,6,,2,,,,,,2,,,,,7,4,35000,20000,1,,,,,,1,8,1,,,,,,3,5,12,1,5,2,2,0.843644
1,5,4,1,1,12,,,,,,,,,,1,1,1,,3,1,6,,,,,2,,,,,,2,,,,,7,5,35000,25000,4,2,3,,,,1,4,1,,,,,,3,5,14,1,1,1,2,0.504488
1,5,4,1,1,12,,,,,,,,,,1,3,,2,4,1,3,4,,,,2,,,,,,2,,,,,7,5,35000,25000,1,,,,,,1,7,1,,,,,,4,3,6,1,7,1,1,0.629102
1,5,4,1,1,8,,,,,,,,,,1,1,1,,7,1,3,,,,,2,,,,,,2,,,,,7,6,35000,30000,1,,,,,,1,5,1,,,,,,6,5,3,2,7,8,2,0.438091
1,5,4,1,1,12,,,,,,,,,,1,3,,2,2,1,2,3,,,,1,6,,,,,2,,,,,7,6,35000,30000,4,1,,,,,7,3,1,,,,,,8,5,3,2,7,6,1,0.549909
1,5,4,1,1,12,,,,,,,,,,1,3,,2,3,1,1,2,3,4,,2,,,,,,2,,,,,7,6,35000,30000,1,,,,,,88,9,1,,,,,,10,3,13,2,4,12,1,0.659542
1,5,4,1,1,12,,,,,,,,,,1,1,1,,3,1,2,,,,,2,,,,,,2,,,,,7,6,35000,30000,6,1,2,,,,8,5,6,4,,,,,6,5,6,2,8,3,1,0.878071
1,5,4,1,1,13,,,,,,,,,,1,1,1,,3,1,1,,,,,2,,,,,,2,,,,,7,6,35000,30000,1,,,,,,1,4,1,,,,,,5,5,3,1,8,1,1,1.216018
1,5,4,1,1,12,,,,,,,,,,1,1,1,,4,1,4,,,,,2,,,,,,2,,,,,7,6,35000,30000,1,,,,,,1,5,1,,,,,,1,2,14,1,1,2,2,5.330007
