season,vq1,vq1a,vq1b,vq1c,vq1d,vq1e,vq2,vq2a_1,vq2a_2,vq2a_3,vq2a_4,vq2a_5,vq17,vq17_1_1,vq17_1_2,vq17_1_3,vq17_1_4,vq17_1_5,vq17_1_6,vq17_1_7,vq17_1_8,vq17_1_9,vq17_1_10,vq17_1_11,vq17_1_12,vq17_1_13,vq17a1_1,vq17a1_2,vq17a1_3,vq17a2_1,vq17a2_2,vq17a2_3,vq17a2_4,vq17a3_1,vq17a3_2,vq17a3_3,vq17a3_4,vq17a4_1,vq17a4_2,vq17a4_3,vq17a4_4,vq17a5_1,vq17a5_2,vq17a5_3,vq17a6_1,vq17a6_2,vq17a6_3,vq17a6_4,vq17a6_5,vq17a7_1,vq17a7_2,vq17a7_3,vq17a8_1,vq17a8_2,vq17a8_3,vq17a8_4,vq17a8_5,vq17a9_1,vq17a9_2,vq17a9_3,vq17a10_1,vq17a10_2,vq17a11_1,vq17a11_2,vq17a11_3,vq17a11_4,vq17a12_1,vq17a12_2,vq17a13_1,vq17a13_2,vq18,vq18a_1,vq18a_2,vq18a_3,vq18a_4,vq18a_5,vq18b_1,vq18b_2,vq18b_3,vq18b_4,vq18b_5,vq19,vq20,vq21,vq31,vb1,vb2,vb3,vb4,vb5,vb6,vb7,weight
1,20,20,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,1,0,,1,9,5,13,2,1,1,1,0.898693
1,20,20,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,4,6,4,0,,6,7,5,11,2,2,12,2,0.659925
1,20,20,0,0,0,0,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,5,,,3,0,,1,7,4,1,2,7,12,2,0.659925
1,20,18,0,2,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,2,0,,6,6,5,11,2,1,3,2,0.844585
1,15,15,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,2,0,,6,2,3,14,1,2,3,1,2.031139
1,15,15,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,1,0,,6,5,5,4,2,7,8,1,1.380594
1,15,15,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,4,5,12,0,,1,6,3,4,2,7,8,2,0.842829
1,15,15,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,,,12,0,,1,8,5,13,2,7,11,2,0.662368
1,20,14,5,1,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,4,,1,1,2,5,3,5,12,1,2,10,2,1.529938
1,15,14,0,0,1,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,4,6,1,0,,6,4,3,5,2,5,6,2,1.143956
1,15,14,0,1,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,11,0,,6,4,5,3,1,6,5,2,1.142624
1,15,14,0,1,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,,,12,0,,1,6,5,11,2,7,3,2,0.844585
1,13,13,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,12,0,,2,4,6,4,1,7,8,1,1.252885
1,13,12,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,5,6,9,1,2,5,8,3,11,2,4,1,2,0.657628
1,12,12,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,12,0,,1,6,6,1,2,9,5,1,1.109997
1,12,12,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,4,,,10,0,,1,5,5,10,1,5,18,2,1.074945
1,12,12,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,11,0,,6,8,1,6,4,8,1,1,0.989599
1,12,12,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,4,,,9,0,,6,11,2,11,2,5,20,2,0.987143
1,12,12,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,4,,,7,0,,6,11,3,11,4,2,2,2,0.980538
1,12,12,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,9,0,,6,11,3,13,3,8,2,2,0.980538
1,12,12,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,0,,6,9,5,13,2,5,9,1,0.903124
1,12,12,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,5,,,,12,0,,2,9,3,9,2,9,2,1,0.897548
1,12,12,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,12,0,,1,11,5,13,2,7,4,1,0.882285
1,12,12,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,12,0,,1,11,5,13,2,2,2,1,0.880089
1,12,12,0,0,0,0,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,4,0,,6,6,3,11,1,2,11,2,0.847226
1,12,12,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,0,,6,6,3,5,2,6,3,2,0.844585
1,12,12,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,12,0,,1,6,6,1,2,8,1,2,0.841164
1,12,12,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,8,0,,6,10,5,13,2,8,14,1,0.816652
1,15,12,2,1,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,1,2,5,7,5,13,2,2,10,2,0.660757
1,13,12,1,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,3,0,,6,8,5,1,1,9,10,2,0.660757
1,12,12,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,11,0,,6,8,3,9,2,4,5,2,0.658857
1,12,12,0,0,0,0,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,11,0,,6,8,3,4,2,8,5,2,0.658857
1,12,12,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,4,,2,0,,6,8,3,5,2,5,4,2,0.658429
1,12,12,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,,,,,,,,,10,0,,6,8,4,2,2,9,1,2,0.657628
1,12,12,0,0,0,0,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,,,,,,,,,12,0,,2,8,3,2,2,10,1,2,0.657628
1,12,12,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,2,0,,6,7,3,5,4,3,2,2,0.65679
1,12,12,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,11,0,,6,7,3,11,1,3,2,2,0.65679
1,12,12,0,0,0,0,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,8,0,,6,7,3,6,2,6,2,2,0.65679
1,12,12,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,4,5,11,0,,6,7,5,11,2,6,2,2,0.65679
1,12,12,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,4,0,,6,9,5,13,2,1,10,2,0.626469
1,12,12,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,0,,6,10,3,11,2,2,3,2,0.619062
1,12,12,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,4,6,11,0,,6,10,3,11,2,2,14,2,0.61826
1,12,12,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,9,0,,6,10,2,6,2,3,4,2,0.617306
1,12,11,0,0,0,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,11,0,,6,9,2,6,2,4,3,1,0.902348
1,15,11,3,1,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,0,,6,6,3,8,2,5,1,1,1.107927
1,12,11,1,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,4,,,11,0,,6,6,4,8,2,6,1,1,1.107927
1,12,11,1,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,3,,,,12,0,,1,9,5,13,2,8,1,1,0.898693
1,12,11,1,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,4,,,1,0,,6,10,4,13,2,8,4,1,0.815392
1,12,11,0,1,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,4,,,1,0,,1,8,4,11,2,3,18,2,0.661773
1,13,11,1,1,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,4,6,3,0,,6,9,4,11,2,2,3,2,0.626038
1,22,10,0,6,4,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,1,2,5,4,6,1,2,7,16,2,1.150191
1,11,10,0,0,0,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,6,,,2,0,,6,7,6,3,4,5,19,1,0.996272
1,11,10,0,1,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,6,,,12,2,1,5,8,3,11,2,7,1,2,0.657628
1,13,10,2,1,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,4,5,1,0,,6,7,5,1,2,9,2,2,0.65679
1,12,10,1,1,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,3,0,,6,2,3,14,1,2,4,1,2.025376
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,12,0,,1,2,4,14,1,2,5,2,1.93667
1,15,10,3,1,1,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,2,0,,6,3,5,11,2,1,10,2,1.529938
1,10,10,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,3,0,,6,5,5,4,2,6,10,1,1.384421
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,,,11,0,,6,5,5,4,1,6,12,1,1.382677
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,12,0,,2,5,4,7,2,8,12,1,1.382677
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,,,2,0,,6,5,6,5,1,9,5,1,1.380439
1,10,10,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,4,0,,6,5,5,9,1,6,1,1,1.377865
1,10,10,0,0,0,0,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,0,,6,4,5,12,1,5,6,1,1.254205
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,6,,,,,,,,,11,0,,6,4,6,5,2,7,6,1,1.254205
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,12,0,,1,4,6,5,1,7,6,1,1.254205
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,9,0,,6,4,5,6,1,5,1,1,1.250408
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,11,0,,6,4,6,14,1,2,2,1,1.248815
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,4,,10,0,,1,4,6,6,2,8,2,1,1.248815
1,10,10,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,11,0,,6,4,5,5,2,5,3,2,1.145132
1,10,10,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,11,0,,6,6,3,8,2,6,11,1,1.115912
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,4,,,4,0,,6,6,4,5,2,5,6,1,1.111291
1,12,10,2,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,3,0,,6,6,5,6,1,6,8,1,1.110121
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,8,0,,6,6,3,4,2,7,4,1,1.109277
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,4,6,4,0,,6,6,2,8,2,8,4,1,1.109277
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,6,,,,3,0,,6,6,5,6,1,8,21,1,1.108983
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,3,1,1,5,6,6,3,2,10,2,1,1.106516
1,10,10,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,12,1,2,5,5,5,5,1,8,11,2,1.075912
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,1,0,,6,5,4,11,2,2,20,2,1.074038
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,3,0,,6,5,3,6,1,2,10,2,1.073296
1,10,10,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,4,0,,6,5,5,5,1,5,5,2,1.070209
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,,,2,0,,1,5,5,5,2,7,5,2,1.070209
1,11,10,0,1,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,6,,,2,0,,6,5,5,5,2,5,4,2,1.069514
1,10,10,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,4,,,7,0,,6,5,5,11,2,1,2,2,1.066852
1,11,10,1,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,4,0,,6,7,5,3,3,9,7,1,0.997386
1,10,10,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,11,0,,6,8,4,4,1,6,18,1,0.995836
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,9,0,,6,7,3,4,2,6,18,1,0.995836
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,6,2,2,5,7,6,2,2,8,18,1,0.995836
1,10,10,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,5,,,,12,0,,1,7,4,13,2,1,20,1,0.994995
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,4,5,6,12,0,,1,8,3,4,2,6,3,1,0.993624
1,10,10,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,4,5,,3,0,,6,7,4,3,2,8,3,1,0.993624
1,10,10,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,4,,3,0,,1,7,6,3,2,9,3,1,0.993624
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,4,,11,0,,6,7,3,4,2,7,12,1,0.993055
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,3,0,,6,7,3,9,3,8,14,1,0.992336
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,3,0,,6,7,4,9,1,6,5,1,0.991448
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,11,0,,6,7,5,3,2,7,5,1,0.991448
1,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,11,0,,6,8,3,6,2,5,1,1,0.989599
