年度,居住地,細分,合計,商人,秘書職員,專門技術,文化工作,家庭主婦,軍公職,其他,未列明
103,亞洲地區,東南亞地區 新加坡 Singapore,"376,235","76,749","30,330","21,796","65,155","30,308","11,939","57,079","82,879"
103,亞洲地區,東南亞地區 菲律賓 Philippines,"136,978","11,530","5,979","17,252","7,030","4,998",290,"10,766","79,133"
103,亞洲地區,東南亞地區 印尼 Indonesia,"182,704","9,635","9,252","9,304","9,309","11,182",431,"11,627","121,964"
103,亞洲地區,東南亞地區 東南亞其他地區 Others,"11,159","1,710",772,"1,043",962,712,97,"1,973","3,890"
103,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"1,388,305","194,512","106,782","72,507","153,252","106,482","17,288","147,264","590,218"
103,亞洲地區,印度 India,"30,168","5,342","1,100","4,181","1,839",623,103,"6,241","10,739"
103,亞洲地區,中東 Middle East,"17,212","3,201",884,"2,887","1,358",437,98,"2,339","6,008"
103,亞洲地區,亞洲其他 Others,"9,105","1,623",218,451,"1,542",217,86,"1,281","3,687"
103,亞洲地區,亞洲合計 Total,"8,970,186","1,219,653","836,188","860,637","535,394","849,885","74,499","580,336","4,013,594"
103,非洲地區,南非 S. Africa,"4,504",852,119,192,490,181,19,556,"2,095"
103,非洲地區,非洲其他 Others,"5,456","1,063",124,363,645,95,86,813,"2,267"
103,非洲地區,非洲合計 Total,"9,960","1,915",243,555,"1,135",276,105,"1,369","4,362"
103,美洲地區,美國 USA,"458,691","61,756","25,670","53,675","65,919","37,149","1,658","69,856","143,008"
103,美洲地區,加拿大 Canada,"88,601","10,856","6,988","4,435","12,231","10,690",351,"14,187","28,863"
103,美洲地區,墨西哥 Mexico,"3,172",410,286,359,488,94,25,536,974
103,美洲地區,阿根廷 Argentina,"1,191",116,120,69,170,37,3,204,472
103,美洲地區,巴西 Brazil,"4,551",701,127,461,636,154,34,873,"1,565"
103,美洲地區,美洲其他 Others,"9,169",978,314,698,"1,136",251,107,"1,800","3,885"
103,美洲地區,美洲合計 Total,"565,375","74,817","33,505","59,697","80,580","48,375","2,178","87,456","178,767"
103,大洋洲地區,澳洲 Australia,"78,674","11,871","6,651","4,063","10,596","8,367",574,"15,595","20,957"
103,大洋洲地區,紐西蘭 New Zealand,"12,886","2,038",920,613,"2,032","1,267",80,"2,329","3,607"
103,大洋洲地區,大洋洲其他 Others,"1,559",190,101,87,130,154,92,332,473
103,大洋洲地區,大洋洲合計 Total,"93,119","14,099","7,672","4,763","12,758","9,788",746,"18,256","25,037"
103,歐洲地區,比利時 Belgium,"5,352",791,431,681,697,212,42,719,"1,779"
103,歐洲地區,法國 France,"36,379","4,285","1,743","3,261","4,639","1,396",111,"5,360","15,584"
103,歐洲地區,德國 Germany,"52,507","7,178","2,310","6,300","6,353",945,191,"7,594","21,636"
103,歐洲地區,義大利 Italy,"14,895","3,186","1,595","1,439","1,283",240,31,"2,064","5,057"
103,歐洲地區,荷蘭 Netherlands,"18,498","3,580",958,"1,924","2,359",675,96,"3,106","5,800"
103,歐洲地區,英國 U.K.,"58,201","9,511","4,325","4,777","5,895","4,065",339,"8,675","20,614"
103,歐洲地區,西班牙 Spain,"8,403","1,033",361,"1,016","1,307",181,41,"1,547","2,917"
103,歐洲地區,瑞典 Sweden,"8,083","1,308",370,"1,058","1,152",234,33,"1,319","2,609"
103,歐洲地區,瑞士 Switzerland,"8,708","1,465",554,"1,027",952,257,31,"1,454","2,968"
103,歐洲地區,奧地利 Austria,"6,063",775,345,456,860,241,31,947,"2,408"
103,歐洲地區,希臘 Greece,"1,440",109,48,290,106,22,5,216,644
103,歐洲地區,俄羅斯 Russian Federation,"8,353","1,656",131,632,758,92,11,"1,058","4,015"
103,歐洲地區,歐洲其他 Others,"37,998","4,991","1,806","3,730","5,517",979,400,"5,903","14,672"
103,歐洲地區,歐洲合計 Total,"264,880","39,868","14,977","26,591","31,878","9,539","1,362","39,962","100,703"
103,全區,其他 Others,"6,684",57,38,98,67,41,9,57,"6,317"
103,全區,總計 Grand Total,"9,910,204","1,350,409","892,623","952,341","661,812","917,904","78,899","727,436","4,328,780"
104,亞洲地區,日本 Japan,"1,627,229","106,805","618,800","39,411","193,208","151,363","27,365","92,393","397,884"
104,亞洲地區,韓國 Korea,"658,757","71,721","93,914","31,119","142,721","59,664","20,817","52,538","186,263"
104,亞洲地區,香港.澳門 Hong Kong.Macao,"1,513,597","147,313","21,995","9,180","146,779","112,312","6,336","248,544","821,138"
104,亞洲地區,中國大陸 China,"4,184,102","1,865,938","6,553","4,021","293,759","998,861","24,207","522,546","468,217"
104,亞洲地區,東南亞地區 越南 Vietnam,"146,380","4,755","2,924","2,764","2,546","6,751",979,"6,302","119,359"
104,亞洲地區,東南亞地區 泰國 Thailand,"124,409","14,931","20,041","3,889","8,468","4,891","2,985","8,294","60,910"
104,亞洲地區,東南亞地區 馬來西亞 Malaysia,"431,481","74,940","33,449","16,546","59,540","45,801","1,614","49,883","149,708"
104,亞洲地區,東南亞地區 新加坡 Singapore,"393,037","80,829","31,933","23,523","66,326","31,529","10,932","58,292","89,673"
104,亞洲地區,東南亞地區 菲律賓 Philippines,"139,217","12,971","6,646","8,354","7,629","5,537",442,"10,375","87,263"
104,亞洲地區,東南亞地區 印尼 Indonesia,"177,743","9,449","7,947","4,330","8,494","10,222",405,"5,680","131,216"
104,亞洲地區,東南亞地區 東南亞其他地區 Others,"13,218","1,938","1,086",930,"1,113",895,137,"2,228","4,891"
104,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"1,425,485","199,813","104,026","60,336","154,116","105,626","17,494","141,054","643,020"
104,亞洲地區,印度 India,"32,198","5,443","1,215","3,723","1,912",688,130,"5,527","13,560"
104,亞洲地區,中東 Middle East,"18,753","3,252",927,"3,217","1,423",523,156,"2,616","6,639"
104,亞洲地區,亞洲其他 Others,"9,438","1,748",263,485,"1,330",198,126,"1,355","3,933"
104,亞洲地區,亞洲合計 Total,"9,469,559","2,402,033","847,693","151,492","935,248","1,429,235","96,631","1,066,573","2,540,654"
104,非洲地區,南非 S. Africa,"4,893",831,162,202,465,235,18,553,"2,427"
104,非洲地區,非洲其他 Others,"5,267",936,108,353,423,74,148,740,"2,485"
104,非洲地區,非洲合計 Total,"10,160","1,767",270,555,888,309,166,"1,293","4,912"
104,美洲地區,美國 USA,"479,452","61,920","27,350","55,071","68,923","37,854","1,701","69,757","156,876"
104,美洲地區,加拿大 Canada,"90,666","10,415","6,904","4,516","12,215","10,249",330,"13,045","32,992"
104,美洲地區,墨西哥 Mexico,"3,063",390,280,328,457,89,24,476,"1,019"
104,美洲地區,阿根廷 Argentina,"1,189",142,90,77,159,29,5,206,481
104,美洲地區,巴西 Brazil,"4,120",582,106,417,598,121,40,687,"1,569"
104,美洲地區,美洲其他 Others,"9,702",994,394,701,"1,070",214,124,"1,754","4,451"
104,美洲地區,美洲合計 Total,"588,192","74,443","35,124","61,110","83,422","48,556","2,224","85,925","197,388"
104,大洋洲地區,澳洲 Australia,"76,122","11,355","6,046","3,679","10,015","7,227",597,"13,537","23,666"
104,大洋洲地區,紐西蘭 New Zealand,"12,805","1,922",789,613,"2,037","1,197",64,"2,152","4,031"
104,大洋洲地區,大洋洲其他 Others,"1,886",179,117,68,163,178,113,360,708
104,大洋洲地區,大洋洲合計 Total,"90,813","13,456","6,952","4,360","12,215","8,602",774,"16,049","28,405"
104,歐洲地區,比利時 Belgium,"6,101",859,524,706,804,242,66,736,"2,164"
104,歐洲地區,法國 France,"38,364","4,245","1,832","3,300","4,864","1,421",108,"5,025","17,569"
104,歐洲地區,德國 Germany,"54,954","7,431","2,602","6,491","7,355","1,500",192,"6,978","22,405"
104,歐洲地區,義大利 Italy,"15,615","3,211","1,672","1,478","1,445",337,32,"1,744","5,696"
104,歐洲地區,荷蘭 Netherlands,"19,267","3,705","1,002","1,952","2,569",699,94,"2,980","6,266"
104,歐洲地區,英國 U.K.,"58,784","8,901","4,111","4,483","5,840","3,644",290,"7,477","24,038"
104,歐洲地區,西班牙 Spain,"9,065","1,178",353,"1,053","1,339",172,52,"1,475","3,443"
104,歐洲地區,瑞典 Sweden,"8,106","1,275",372,"1,054","1,141",256,26,"1,185","2,797"
104,歐洲地區,瑞士 Switzerland,"9,453","1,556",644,"1,012","1,128",326,30,"1,366","3,391"
104,歐洲地區,奧地利 Austria,"6,243",819,380,472,"1,013",236,11,817,"2,495"
104,歐洲地區,希臘 Greece,"1,465",107,29,266,76,10,10,172,795
104,歐洲地區,俄羅斯 Russian Federation,"7,808","1,383",116,492,668,107,6,939,"4,097"
104,歐洲地區,歐洲其他 Others,"38,810","5,095","1,858","3,687","5,250",979,357,"5,446","16,138"
104,歐洲地區,歐洲合計 Total,"274,035","39,765","15,495","26,446","33,492","9,929","1,274","36,340","111,294"
104,全區,其他 Others,"7,026",126,46,33,92,71,10,100,"6,548"
104,全區,總計 Grand Total,"10,439,785","2,531,590","905,580","243,996","1,065,357","1,496,702","101,079","1,206,280","2,889,201"
105,亞洲地區,日本 Japan,"1,895,702","111,626","675,544","43,658","248,215","170,729","32,194","104,783","508,953"
105,亞洲地區,韓國 Korea,"884,397","85,691","122,607","39,187","206,149","74,832","31,746","67,869","256,316"
105,亞洲地區,香港.澳門 Hong Kong.Macao,"1,614,803","152,782","21,161","7,590","160,917","121,661","6,227","264,101","880,364"
105,亞洲地區,中國大陸 China,"3,511,734","1,557,680","6,475","2,324","274,425","828,127","21,772","458,617","362,314"
105,亞洲地區,東南亞地區 越南 Vietnam,"196,636","9,133","10,104","3,583","5,060","9,976","1,961","9,002","147,817"
105,亞洲地區,東南亞地區 泰國 Thailand,"195,640","25,198","40,962","5,657","14,743","9,684","4,639","14,671","80,086"
105,亞洲地區,東南亞地區 馬來西亞 Malaysia,"474,420","76,764","34,678","16,586","65,269","48,073","1,576","54,558","176,916"
105,亞洲地區,東南亞地區 新加坡 Singapore,"407,267","79,790","30,801","22,788","67,263","33,602","13,754","60,507","98,762"
105,亞洲地區,東南亞地區 菲律賓 Philippines,"172,475","17,594","9,508","10,090","10,975","7,488",582,"15,101","101,137"
105,亞洲地區,東南亞地區 印尼 Indonesia,"188,720","9,085","8,226","5,918","9,209","10,210",426,"6,597","139,049"
105,亞洲地區,東南亞地區 東南亞其他地區 Others,"18,750","2,558","2,079","1,113","1,975","1,545",231,"2,503","6,746"
105,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"1,653,908","220,122","136,358","65,735","174,494","120,578","23,169","162,939","750,513"
105,亞洲地區,印度 India,"33,550","5,809","1,311","4,051","2,200",745,126,"6,155","13,153"
105,亞洲地區,中東 Middle East,"19,862","3,312","1,082","3,233","1,668",706,124,"2,676","7,061"
105,亞洲地區,亞洲其他 Others,"10,837","1,871",453,606,"1,625",313,99,"1,674","4,196"
105,亞洲地區,亞洲合計 Total,"9,624,793","2,138,893","964,991","166,384","1,069,693","1,317,691","115,457","1,068,814","2,782,870"
105,非洲地區,南非 S. Africa,"5,077",788,133,175,519,261,12,523,"2,666"
105,非洲地區,非洲其他 Others,"5,591",892,117,351,515,65,93,802,"2,756"
105,非洲地區,非洲合計 Total,"10,668","1,680",250,526,"1,034",326,105,"1,325","5,422"
105,美洲地區,美國 USA,"523,888","62,970","28,880","56,570","76,748","43,891","1,945","78,990","173,894"
105,美洲地區,加拿大 Canada,"106,197","11,696","8,171","4,840","14,295","13,193",448,"16,320","37,234"
105,美洲地區,墨西哥 Mexico,"3,138",348,313,398,486,71,20,437,"1,065"
105,美洲地區,阿根廷 Argentina,"1,281",135,117,80,171,40,2,228,508
105,美洲地區,巴西 Brazil,"4,171",529,108,398,624,154,38,686,"1,634"
105,美洲地區,美洲其他 Others,"10,662",988,411,784,"1,164",227,144,"1,741","5,203"
105,美洲地區,美洲合計 Total,"649,337","76,666","38,000","63,070","93,488","57,576","2,597","98,402","219,538"
105,大洋洲地區,澳洲 Australia,"82,361","11,506","6,152","3,709","10,909","8,310",623,"14,462","26,690"
105,大洋洲地區,紐西蘭 New Zealand,"13,676","1,881",852,622,"2,092","1,282",69,"2,399","4,479"
105,大洋洲地區,大洋洲其他 Others,"2,189",237,111,89,178,174,110,453,837
105,大洋洲地區,大洋洲合計 Total,"98,226","13,624","7,115","4,420","13,179","9,766",802,"17,314","32,006"
105,歐洲地區,比利時 Belgium,"6,627",845,581,734,945,255,81,857,"2,329"
105,歐洲地區,法國 France,"42,380","4,379","2,026","3,361","5,655","1,617",126,"5,677","19,539"
105,歐洲地區,德國 Germany,"59,798","7,523","2,841","6,501","8,320","1,338",195,"7,651","25,429"
105,歐洲地區,義大利 Italy,"17,102","3,238","1,825","1,534","1,589",308,28,"2,031","6,549"
105,歐洲地區,荷蘭 Netherlands,"23,254","3,909","1,197","2,375","2,957",885,130,"3,800","8,001"
105,歐洲地區,英國 U.K.,"59,867","9,057","4,198","4,260","6,438","3,886",376,"8,241","23,411"
105,歐洲地區,西班牙 Spain,"10,686","1,200",447,"1,143","1,763",251,49,"1,789","4,044"
105,歐洲地區,瑞典 Sweden,"8,744","1,291",399,"1,058","1,322",255,23,"1,298","3,098"
105,歐洲地區,瑞士 Switzerland,"10,225","1,595",669,993,"1,258",321,47,"1,530","3,812"
105,歐洲地區,奧地利 Austria,"6,867",817,419,527,"1,053",243,22,908,"2,878"
105,歐洲地區,希臘 Greece,"1,572",108,68,212,104,20,8,240,812
105,歐洲地區,俄羅斯 Russian Federation,"7,974","1,335",127,699,577,86,7,929,"4,214"
105,歐洲地區,歐洲其他 Others,"44,660","5,628","2,173","3,894","6,206","1,222",370,"6,374","18,793"
105,歐洲地區,歐洲合計 Total,"299,756","40,925","16,970","27,291","38,187","10,687","1,462","41,325","122,909"
105,全區,其他 Others,"7,499",178,66,33,135,102,8,97,"6,880"
105,全區,總計 Grand Total,"10,690,279","2,271,966","1,027,392","261,724","1,215,716","1,396,148","120,431","1,227,277","3,169,625"
106,亞洲地區,日本 Japan,"1,898,854","116,306","708,500","44,184","264,324","184,357","30,957","115,395","434,831"
106,亞洲地區,韓國 Korea,"1,054,708","105,254","168,758","48,168","243,612","106,139","28,969","90,877","262,931"
106,亞洲地區,香港.澳門 Hong Kong.Macao,"1,692,063","156,182","27,584","10,239","169,958","127,590","6,962","264,364","929,184"
106,亞洲地區,中國大陸 China,"2,732,549","1,281,437","17,208","5,833","205,614","570,899","18,817","321,580","311,161"
106,亞洲地區,東南亞地區 越南 Vietnam,"383,329","33,588","53,992","7,323","17,913","21,788","5,182","31,704","211,839"
106,亞洲地區,東南亞地區 泰國 Thailand,"292,534","41,942","77,801","8,595","28,178","13,174","7,179","29,036","86,629"
106,亞洲地區,東南亞地區 馬來西亞 Malaysia,"528,019","85,561","39,955","18,643","71,623","55,415","1,394","69,601","185,827"
106,亞洲地區,東南亞地區 新加坡 Singapore,"425,577","86,159","34,595","25,102","68,784","37,614","10,259","70,322","92,742"
106,亞洲地區,東南亞地區 菲律賓 Philippines,"290,784","35,918","24,822","16,679","25,037","15,110","1,952","37,778","133,488"
106,亞洲地區,東南亞地區 印尼 Indonesia,"189,631","13,193","11,645","5,612","11,911","14,447",597,"9,091","123,135"
106,亞洲地區,東南亞地區 東南亞其他地區 Others,"27,264","4,109","2,413","1,658","3,046","2,672",294,"3,176","9,896"
106,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"2,137,138","300,470","245,223","83,612","226,492","160,220","26,857","250,708","843,556"
106,亞洲地區,印度 India,"34,962","6,397","1,639","4,358","2,578",877,117,"6,102","12,894"
106,亞洲地區,中東 Middle East,"21,138","3,197",892,"3,363","1,605",656,81,"2,944","8,400"
106,亞洲地區,亞洲其他 Others,"14,223","2,601","1,007",739,"2,094",531,142,"1,823","5,286"
106,亞洲地區,亞洲合計 Total,"9,585,635","1,971,844","1,170,811","200,496","1,116,277","1,151,269","112,902","1,053,793","2,808,243"
106,非洲地區,南非 S. Africa,"5,757",841,168,178,589,273,14,628,"3,066"
106,非洲地區,非洲其他 Others,"5,925",876,149,298,610,111,120,794,"2,967"
106,非洲地區,非洲合計 Total,"11,682","1,717",317,476,"1,199",384,134,"1,422","6,033"
106,美洲地區,美國 USA,"561,365","67,285","31,510","61,845","83,258","51,282","2,041","93,206","170,938"
106,美洲地區,加拿大 Canada,"117,687","12,873","8,866","5,655","16,245","14,618",496,"1,025","38,799"
106,美洲地區,墨西哥 Mexico,"4,347",495,372,451,598,125,14,577,"1,715"
106,美洲地區,阿根廷 Argentina,"1,693",130,132,86,167,33,4,284,857
106,美洲地區,巴西 Brazil,"4,794",623,94,453,582,146,61,867,"1,968"
106,美洲地區,美洲其他 Others,"12,163","1,061",441,899,"1,397",270,140,"1,970","5,985"
106,美洲地區,美洲合計 Total,"702,049","82,467","41,415","69,389","102,247","66,474","2,756","117,039","220,262"
106,大洋洲地區,澳洲 Australia,"90,892","12,375","6,870","4,254","12,393","9,820",690,"16,964","27,526"
106,大洋洲地區,紐西蘭 New Zealand,"14,639","2,121",941,731,"2,158","1,504",55,"2,656","4,473"
106,大洋洲地區,大洋洲其他 Others,"2,813",315,183,119,401,210,110,488,987
106,大洋洲地區,大洋洲合計 Total,"108,344","14,811","7,994","5,104","14,952","11,534",855,"20,108","32,986"
106,歐洲地區,比利時 Belgium,"7,666",952,687,918,"1,051",318,80,"1,100","2,560"
106,歐洲地區,法國 France,"46,822","4,880","2,184","3,749","6,609","1,992",125,"6,860","20,423"
106,歐洲地區,德國 Germany,"65,983","8,093","3,126","7,099","8,692","1,681",213,"8,846","28,233"
106,歐洲地區,義大利 Italy,"18,596","3,205","1,981","1,699","1,780",382,36,"2,372","7,141"
106,歐洲地區,荷蘭 Netherlands,"25,492","4,300","1,339","2,861","3,119",937,159,"4,634","8,143"
106,歐洲地區,英國 U.K.,"64,858","9,505","4,574","4,630","6,745","4,733",384,"9,274","25,013"
106,歐洲地區,西班牙 Spain,"11,367","1,255",483,"1,300","1,825",276,77,104,"4,136"
106,歐洲地區,瑞典 Sweden,"9,106","1,393",476,"1,074","1,315",328,23,"1,512","2,985"
106,歐洲地區,瑞士 Switzerland,"11,253","1,602",793,"1,128","1,371",442,31,"1,760","4,126"
106,歐洲地區,奧地利 Austria,"7,877",902,460,600,"1,199",439,26,"1,098","3,153"
106,歐洲地區,希臘 Greece,"1,875",139,77,410,85,22,6,260,876
106,歐洲地區,俄羅斯 Russian Federation,"9,226","1,360",151,748,621,98,14,"1,247","4,987"
106,歐洲地區,歐洲其他 Others,"49,969","5,659","2,232","4,430","6,917","1,257",379,"7,456","21,639"
106,歐洲地區,歐洲合計 Total,"330,090","43,245","18,563","30,646","41,329","12,905","1,553","48,434","133,415"
106,全區,其他 Others,"1,801",102,40,42,213,106,4,98,"1,196"
106,全區,總計 Grand Total,"10,739,601","2,114,186","1,239,140","306,153","1,276,217","1,242,672","118,204","1,240,894","311,035"
107,亞洲地區,日本 Japan,"1,969,151","111,358","707,272","45,710","277,572","168,170","32,635","126,785","499,649"
107,亞洲地區,韓國 Korea,"1,019,441","98,990","157,337","46,094","229,219","96,215","32,698","96,194","262,694"
107,亞洲地區,香港.澳門 Hong Kong.Macao,"1,653,654","152,402","31,745","11,496","171,606","110,867","6,601","246,800","922,137"
107,亞洲地區,中國大陸 China,"2,695,615","1,229,166","23,120","7,889","211,518","559,283","23,647","310,701","330,291"
107,亞洲地區,東南亞地區 越南 Vietnam,"490,774","35,746","59,051","13,497","19,398","24,127","5,719","44,534","288,702"
107,亞洲地區,東南亞地區 泰國 Thailand,"320,008","43,956","79,273","9,813","32,135","12,871","8,218","34,838","98,904"
107,亞洲地區,東南亞地區 馬來西亞 Malaysia,"526,129","84,272","39,881","19,204","71,686","50,131","1,576","72,061","187,318"
107,亞洲地區,東南亞地區 新加坡 Singapore,"427,222","84,624","34,828","25,089","68,079","35,728","12,760","71,522","94,592"
107,亞洲地區,東南亞地區 菲律賓 Philippines,"419,105","51,887","37,332","21,097","37,738","25,795","3,215","68,113","173,928"
107,亞洲地區,東南亞地區 印尼 Indonesia,"210,985","14,329","11,608","6,462","14,180","15,189",812,"11,574","136,831"
107,亞洲地區,東南亞地區 東南亞其他地區 Others,"35,896","5,651","3,007","2,390","3,735","3,337",512,"4,382","12,882"
107,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"2,430,119","320,465","264,980","97,552","246,951","167,178","32,812","307,024","993,157"
107,亞洲地區,印度 India,"38,385","6,395","1,895","4,530","3,267","1,044",123,"6,279","14,852"
107,亞洲地區,中東 Middle East,"22,442","3,104","1,568","3,310","1,973",698,130,"3,592","8,067"
107,亞洲地區,亞洲其他 Others,"16,954","2,788","1,587",819,"2,590",711,215,"2,366","5,878"
107,亞洲地區,亞洲合計 Total,"9,845,761","1,924,668","1,189,504","217,400","1,144,696","1,104,166","128,861","1,099,741","3,036,725"
107,非洲地區,南非 S. Africa,"5,596",765,163,164,562,295,17,652,"2,978"
107,非洲地區,非洲其他 Others,"6,441","1,120",256,350,633,111,119,855,"2,997"
107,非洲地區,非洲合計 Total,"12,037","1,885",419,514,"1,195",406,136,"1,507","5,975"
107,美洲地區,美國 USA,"580,072","66,853","31,989","62,612","83,161","51,434","2,318","95,591","186,114"
107,美洲地區,加拿大 Canada,"128,456","13,494","9,819","6,155","17,127","15,034",554,"23,032","43,241"
107,美洲地區,墨西哥 Mexico,"4,334",402,304,399,571,87,18,587,"1,966"
107,美洲地區,阿根廷 Argentina,"1,459",97,124,72,188,32,4,311,631
107,美洲地區,巴西 Brazil,"5,042",674,113,469,642,181,52,870,"2,041"
107,美洲地區,美洲其他 Others,"13,115","1,174",472,936,"1,572",267,146,"2,278","6,270"
107,美洲地區,美洲合計 Total,"732,478","82,694","42,821","70,643","103,261","67,035","3,092","122,669","240,263"
107,大洋洲地區,澳洲 Australia,"102,541","13,459","8,140","4,979","15,184","10,036",766,"19,615","30,362"
107,大洋洲地區,紐西蘭 New Zealand,"16,362","2,248","1,024",776,"2,658","1,575",98,"3,160","4,823"
