城市,年份,月份,平均氣溫 (°C),降水量 (mm)
東京,2023,7,27.4,233.0
東京,2023,8,27.5,105.0
東京,2023,9,24.4,310.0
東京,2023,10,17.2,118.0
東京,2023,11,14.5,102.5
東京,2023,12,7.5,56.5
大阪,2023,1,5.6,20.0
大阪,2023,2,5.5,16.5
大阪,2023,3,11.4,104.5
大阪,2023,4,16.8,116.0
大阪,2023,5,20.0,80.0
大阪,2023,6,24.4,101.0
大阪,2023,7,28.4,174.0
大阪,2023,8,29.5,73.5
大阪,2023,9,26.2,180.5
大阪,2023,10,19.0,92.5
大阪,2023,11,15.2,81.5
大阪,2023,12,7.9,18.0
那霸,2023,1,17.7,106.0
那霸,2023,2,17.2,186.5
那霸,2023,3,20.4,177.5
那霸,2023,4,22.7,41.5
那霸,2023,5,23.5,601.5
那霸,2023,6,27.0,495.5
那霸,2023,7,29.4,189.5
那霸,2023,8,29.9,138.5
那霸,2023,9,28.3,378.5
那霸,2023,10,26.0,202.0
那霸,2023,11,23.6,269.0
那霸,2023,12,18.6,210.5
札幌,2024,1,-3.6,56.0
札幌,2024,2,-2.2,46.5
札幌,2024,3,1.0,78.0
札幌,2024,4,7.5,62.0
札幌,2024,5,13.0,51.0
札幌,2024,6,17.5,50.0
札幌,2024,7,21.5,75.0
札幌,2024,8,23.0,110.0
札幌,2024,9,18.0,110.0
札幌,2024,10,11.0,110.0
札幌,2024,11,4.0,110.0
札幌,2024,12,-1.8,138.0
東京,2024,1,7.5,35.0
東京,2024,2,6.9,39.5
東京,2024,3,10.0,117.5
東京,2024,4,15.0,125.0
東京,2024,5,20.0,137.0
東京,2024,6,23.5,160.0
東京,2024,7,27.0,150.0
東京,2024,8,29.0,168.0
東京,2024,9,25.0,209.0
東京,2024,10,19.0,197.0
東京,2024,11,13.0,92.0
東京,2024,12,7.0,138.0
大阪,2024,1,6.0,45.0
大阪,2024,2,7.0,60.0
大阪,2024,3,11.0,110.0
大阪,2024,4,16.0,120.0
大阪,2024,5,21.0,130.0
大阪,2024,6,25.0,180.0
大阪,2024,7,28.0,160.0
大阪,2024,8,30.0,150.0
大阪,2024,9,26.0,200.0
大阪,2024,10,20.0,100.0
大阪,2024,11,14.0,80.0
大阪,2024,12,8.0,60.0
那霸,2024,1,17.0,100.0
那霸,2024,2,18.0,120.0
那霸,2024,3,20.0,150.0
那霸,2024,4,23.0,200.0
那霸,2024,5,26.0,250.0
那霸,2024,6,28.0,300.0
那霸,2024,7,30.0,200.0
那霸,2024,8,30.0,250.0
那霸,2024,9,29.0,300.0
那霸,2024,10,26.0,200.0
那霸,2024,11,23.0,150.0
那霸,2024,12,19.0,100.0
臺北,2021,1,16.5,40.0
臺北,2021,2,17.2,60.0
臺北,2021,3,19.8,80.0
臺北,2021,4,23.4,100.0
臺北,2021,5,26.0,120.0
臺北,2021,6,28.2,160.0
臺北,2021,7,30.0,180.0
臺北,2021,8,29.8,170.0
臺北,2021,9,28.0,150.0
臺北,2021,10,24.5,110.0
臺北,2021,11,20.3,90.0
臺北,2021,12,16.8,70.0
臺中,2021,1,16.0,30.0
臺中,2021,2,16.8,50.0
臺中,2021,3,19.5,70.0
臺中,2021,4,23.0,90.0
臺中,2021,5,25.5,110.0
臺中,2021,6,27.8,150.0
臺中,2021,7,29.5,170.0
臺中,2021,8,29.3,160.0
臺中,2021,9,27.5,140.0
臺中,2021,10,23.0,100.0
臺中,2021,11,19.0,80.0
臺中,2021,12,15.5,60.0
高雄,2021,1,19.0,20.0
高雄,2021,2,19.8,30.0
高雄,2021,3,22.5,50.0
高雄,2021,4,25.0,70.0
高雄,2021,5,27.5,90.0
高雄,2021,6,29.5,130.0
高雄,2021,7,30.5,150.0
高雄,2021,8,30.3,140.0
高雄,2021,9,28.5,120.0
高雄,2021,10,24.5,80.0
高雄,2021,11,20.5,60.0
高雄,2021,12,17.0,40.0
臺北,2022,1,14.5,35.0
臺北,2022,2,15.8,40.0
臺北,2022,3,18.2,55.0
臺北,2022,4,22.1,70.0
臺北,2022,5,25.7,90.0
臺北,2022,6,28.3,130.0
臺北,2022,7,30.6,160.0
臺北,2022,8,30.2,150.0
臺北,2022,9,28.1,140.0
臺北,2022,10,24.3,110.0
臺北,2022,11,20.5,80.0
臺北,2022,12,16.2,60.0
臺中,2022,1,15.0,25.0
臺中,2022,2,16.3,30.0
臺中,2022,3,19.0,45.0
臺中,2022,4,22.7,60.0
臺中,2022,5,26.2,80.0
臺中,2022,6,28.8,110.0
臺中,2022,7,30.1,130.0
臺中,2022,8,29.7,120.0
臺中,2022,9,27.6,100.0
臺中,2022,10,23.8,70.0
臺中,2022,11,19.9,50.0
臺中,2022,12,16.5,35.0
高雄,2022,1,18.2,20.0
高雄,2022,2,19.4,25.0
高雄,2022,3,21.8,35.0
高雄,2022,4,24.9,45.0
高雄,2022,5,27.8,65.0
高雄,2022,6,29.9,85.0
高雄,2022,7,30.7,105.0
高雄,2022,8,30.3,95.0
高雄,2022,9,28.7,75.0
高雄,2022,10,26.1,55.0
高雄,2022,11,22.7,35.0
高雄,2022,12,19.3,25.0
臺北,2023,1,14.5,30.0
臺北,2023,2,15.8,25.0
臺北,2023,3,18.2,40.0
臺北,2023,4,22.1,60.0
臺北,2023,5,25.7,85.0
臺北,2023,6,28.3,120.0
臺北,2023,7,30.6,150.0
臺北,2023,8,30.2,140.0
臺北,2023,9,28.1,130.0
臺北,2023,10,24.3,100.0
臺北,2023,11,20.5,70.0
臺北,2023,12,16.2,50.0
臺中,2023,1,15.0,20.0
臺中,2023,2,16.3,22.0
臺中,2023,3,19.0,35.0
臺中,2023,4,22.7,50.0
臺中,2023,5,26.2,70.0
臺中,2023,6,28.8,100.0
臺中,2023,7,30.1,120.0
臺中,2023,8,29.7,110.0
臺中,2023,9,27.6,90.0
臺中,2023,10,23.8,60.0
臺中,2023,11,19.9,40.0
臺中,2023,12,16.5,30.0
高雄,2023,1,18.2,15.0
高雄,2023,2,19.4,18.0
高雄,2023,3,21.8,28.0
高雄,2023,4,24.9,35.0
高雄,2023,5,27.8,55.0
高雄,2023,6,29.9,75.0
高雄,2023,7,30.7,95.0
高雄,2023,8,30.3,85.0
高雄,2023,9,28.7,65.0
高雄,2023,10,26.1,45.0
高雄,2023,11,22.7,25.0
高雄,2023,12,19.3,18.0
臺北,2024,1,14.8,20.0
臺北,2024,2,16.2,30.5
臺北,2024,3,18.5,45.0
臺北,2024,4,22.0,60.0
臺北,2024,5,25.5,80.0
臺北,2024,6,28.0,120.0
臺北,2024,7,30.5,150.0
臺北,2024,8,30.0,140.0
臺北,2024,9,28.0,130.0
臺北,2024,10,24.0,100.0
臺北,2024,11,20.0,70.0
臺北,2024,12,16.0,50.0
臺中,2024,1,15.0,15.0
臺中,2024,2,16.5,25.0
臺中,2024,3,19.0,35.0
臺中,2024,4,22.5,50.0
臺中,2024,5,26.0,70.0
臺中,2024,6,28.5,100.0
臺中,2024,7,30.0,120.0
臺中,2024,8,29.5,110.0
臺中,2024,9,27.5,90.0
臺中,2024,10,23.5,60.0
臺中,2024,11,19.5,40.0
臺中,2024,12,16.0,30.0
高雄,2024,1,18.0,10.0
高雄,2024,2,19.0,20.0
高雄,2024,3,21.5,30.0
高雄,2024,4,24.5,40.0
高雄,2024,5,27.5,60.0
高雄,2024,6,29.5,80.0
高雄,2024,7,30.5,100.0
高雄,2024,8,30.0,90.0
高雄,2024,9,28.5,70.0
高雄,2024,10,26.0,50.0
高雄,2024,11,22.5,30.0
高雄,2024,12,19.0,20.0
首爾,2021,1,-2.0,16.8
首爾,2021,2,0.5,25
首爾,2021,3,5.0,45
首爾,2021,4,12.0,55
首爾,2021,5,17.0,75
首爾,2021,6,22.0,130
首爾,2021,7,25.0,395
首爾,2021,8,26.0,300
首爾,2021,9,21.0,170
首爾,2021,10,14.0,50
首爾,2021,11,6.0,45
首爾,2021,12,-1.0,25
釜山,2021,1,3.0,29
釜山,2021,2,4.0,35
釜山,2021,3,8.0,60
釜山,2021,4,14.0,90
釜山,2021,5,18.0,100
釜山,2021,6,22.0,180
釜山,2021,7,26.0,300
釜山,2021,8,27.0,200
釜山,2021,9,23.0,180
釜山,2021,10,17.0,80
釜山,2021,11,11.0,45
釜山,2021,12,5.0,23
首爾,2022,1,-3.5,21
首爾,2022,2,0.5,25
首爾,2022,3,5.0,45
首爾,2022,4,12.0,55
首爾,2022,5,17.0,75
首爾,2022,6,22.0,130
首爾,2022,7,25.0,395
首爾,2022,8,26.0,570
首爾,2022,9,21.0,170
首爾,2022,10,14.0,50
首爾,2022,11,6.0,45
首爾,2022,12,-1.0,25
釜山,2022,1,3.0,29
釜山,2022,2,4.0,35
釜山,2022,3,8.0,60
釜山,2022,4,14.0,90
釜山,2022,5,18.0,100
釜山,2022,6,22.0,180
釜山,2022,7,26.0,300
釜山,2022,8,27.0,200
釜山,2022,9,23.0,180
釜山,2022,10,17.0,80
釜山,2022,11,11.0,45
釜山,2022,12,5.0,23
首爾,2023,1,-3.5,21
首爾,2023,2,0.5,25
首爾,2023,3,5.0,45
首爾,2023,4,12.0,55
首爾,2023,5,17.0,75
首爾,2023,6,22.0,130
首爾,2023,7,25.0,395
首爾,2023,8,26.0,300
首爾,2023,9,21.0,170
首爾,2023,10,14.0,50
首爾,2023,11,6.0,45
首爾,2023,12,-1.0,25
釜山,2023,1,3.0,29
釜山,2023,2,4.0,35
釜山,2023,3,8.0,60
釜山,2023,4,14.0,90
釜山,2023,5,18.0,100
釜山,2023,6,22.0,180
釜山,2023,7,26.0,233
釜山,2023,8,27.0,200
釜山,2023,9,23.0,180
釜山,2023,10,17.0,80
釜山,2023,11,11.0,45
釜山,2023,12,5.0,23
首爾,2024,1,-2.0,16.8
首爾,2024,2,0.5,20.0
首爾,2024,3,5.0,45.0
首爾,2024,4,11.5,49.0
首爾,2024,5,17.0,66.0
首爾,2024,6,22.0,79.0
首爾,2024,7,25.5,414.4
首爾,2024,8,26.1,364.0
首爾,2024,9,21.0,170.0
首爾,2024,10,14.0,50.0
首爾,2024,11,6.0,45.0
首爾,2024,12,-1.0,25.0
釜山,2024,1,3.0,35.0
釜山,2024,2,5.0,45.0
釜山,2024,3,9.0,80.0
釜山,2024,4,14.0,100.0
釜山,2024,5,18.0,120.0
釜山,2024,6,22.0,180.0
釜山,2024,7,26.0,256.9
釜山,2024,8,27.0,200.0
釜山,2024,9,23.0,180.0
釜山,2024,10,17.0,80.0
釜山,2024,11,11.0,45.0
釜山,2024,12,5.0,23.0
新加坡,2021,1,25.8,480.5
新加坡,2021,2,27.5,35.8
新加坡,2021,3,28.0,150.0
新加坡,2021,4,28.2,180.0
新加坡,2021,5,28.5,200.0
新加坡,2021,6,28.6,220.0
新加坡,2021,7,28.4,210.0
新加坡,2021,8,28.3,426.2
新加坡,2021,9,28.2,200.0
新加坡,2021,10,28.0,180.0
新加坡,2021,11,27.8,220.0
新加坡,2021,12,27.5,200.0
下龍,2021,1,16.1,38.9
下龍,2021,2,17.0,34.0
下龍,2021,3,19.0,50.0
下龍,2021,4,22.0,80.0
下龍,2021,5,25.5,132.0
下龍,2021,6,28.2,179.0
下龍,2021,7,29.0,234.4
下龍,2021,8,28.5,317.0
下龍,2021,9,27.5,190.0
下龍,2021,10,24.0,54.0
下龍,2021,11,20.0,30.0
下龍,2021,12,17.0,22.0
新加坡,2022,1,27.5,250
新加坡,2022,2,27.8,120
新加坡,2022,3,28.0,180
新加坡,2022,4,28.2,200
新加坡,2022,5,28.5,220
新加坡,2022,6,28.6,240
新加坡,2022,7,28.4,210
新加坡,2022,8,28.3,190
新加坡,2022,9,28.2,220
新加坡,2022,10,28.0,412
新加坡,2022,11,27.8,250
新加坡,2022,12,27.5,220
下龍,2022,1,16.1,15
下龍,2022,2,17.0,22
下龍,2022,3,19.0,28
下龍,2022,4,22.0,48
下龍,2022,5,25.5,132
下龍,2022,6,28.2,185
下龍,2022,7,29.0,240
下龍,2022,8,28.5,317
下龍,2022,9,27.5,190
下龍,2022,10,24.0,54
下龍,2022,11,20.0,30
下龍,2022,12,17.0,22
新加坡,2023,1,27.5,200
新加坡,2023,2,27.8,342
新加坡,2023,3,28.0,220
新加坡,2023,4,28.2,180
新加坡,2023,5,28.5,200
新加坡,2023,6,28.6,250
新加坡,2023,7,28.4,180
新加坡,2023,8,28.3,160
新加坡,2023,9,28.2,170
新加坡,2023,10,29.0,170
新加坡,2023,11,28.0,243
新加坡,2023,12,27.5,250
下龍,2023,1,16.5,18
下龍,2023,2,17.5,15
下龍,2023,3,20.0,53
下龍,2023,4,23.0,57
下龍,2023,5,26.5,132
下龍,2023,6,28.0,185
下龍,2023,7,29.0,240
下龍,2023,8,28.5,260
下龍,2023,9,27.5,190
下龍,2023,10,24.0,54
下龍,2023,11,20.0,30
下龍,2023,12,17.0,22
新加坡,2024,1,27.5,407.5
新加坡,2024,2,27.8,120.0
新加坡,2024,3,28.0,150.0
新加坡,2024,4,28.2,180.0
新加坡,2024,5,28.5,220.0
新加坡,2024,6,28.6,250.0
新加坡,2024,7,28.4,84.6
新加坡,2024,8,28.3,120.8
新加坡,2024,9,28.2,200.0
新加坡,2024,10,28.0,210.0
新加坡,2024,11,27.8,419.0
新加坡,2024,12,27.5,221.3
下龍,2024,1,17.0,18.0
下龍,2024,2,18.0,22.0
下龍,2024,3,20.0,35.0
下龍,2024,4,23.0,79.0
下龍,2024,5,26.8,180.0
下龍,2024,6,28.2,200.0
下龍,2024,7,28.6,250.0
下龍,2024,8,27.9,260.0
下龍,2024,9,27.0,220.0
下龍,2024,10,24.7,100.0
下龍,2024,11,21.2,50.0
下龍,2024,12,17.8,30.0
