no,no_outtrip,vCASEID,season,vq22,vq22a,vq23,vq23a,vq24_1,vq24_2,vq24_3,vq24_4,vq24_5,vq24_6,vq24_7,vq24_8,vq24_9,vq24_10,vq25,vq26,vq26a_1,vq26a_2,vq26b,vq27,vq27a_1,vq27a_2,vq27a_3,vq27a_4,vq27a_5,vq28,vq28a_1,vq28a_2,vq28a_3,vq28a_4,vq28a_5,vq29,vq29a_1,vq29a_2,vq29a_3,vq29a_4,vq30,vq30a,vq30b,vq30b_1_1,vq30b_1_2,vq30b_1_3,vq30b_1_4,vq30b_1_5,vq30c,vq30d,vq30e,vq30f,vq30f_1_1,vq30f_1_2,vq30f_1_3,vq30f_1_4,vq30f_1_5,vb1,vb2,vb3,vb4,vb5,vb6,vb7,w
19615,1576,92201450,4,6,5,1,1,12, , , , , , , , , ,1,1,7, ,3,3,4, , , , ,2, , , , , ,2,99, , , ,15,7,1, , , , , ,9,11,1,4,4, , , , ,7,6,4,1,8,18,2,.684803273902567
21062,1725,95100172,4,5,4,1,1,12, , , , , , , , , ,1,1,7, ,7,1,3, , , , ,1,6, , , , ,2,99, , , ,13,8,1, , , , , ,6,1,1,1, , , , , ,4,5,4,1,7,16,2,1.06250573472465
20609,1680,92240948,4,4,3,1,2,13, , , , , , , , , ,1,1,7, ,2,1,2, , , , ,2, , , , , ,2,99, , , ,13,8,1, , , , , ,9,2,1,1, , , , , ,7,3,9,2,6,20,2,1.08818478264879
20273,1642,92228060,4,5,4,2, ,12, , , , , , , , , ,1,1,7, ,2,3,6, , , , ,2, , , , , ,2,99, , , ,9,8,4,1,3,5, , ,4,7,1,1, , , , , ,6,5,5,2,6,20,2,.754959227424027
21623,1789,95108828,4,5,4,1,1,12, , , , , , , , , ,1,1,7, ,7,1,1, , , , ,1,1, , , , ,2,99, , , ,13,11,1, , , , , ,9,9,1,1, , , , , ,5,5,4,2,6,1,2,1.176770213079
20262,1640,92227547,4,7,6,1,1,29, , , , , , , , , ,1,1,7, ,4,1,2,3, , , ,2, , , , , ,2,99, , , ,13,12,1, , , , , ,14,1,1,1, , , , , ,6,5,11,2,7,16,1,1.30257571359214
18667,1449,92111952,4,9,8,1,1,18,19,62, , , , , , , ,1,1,7, ,3,1,2, , , , ,2, , , , , ,2,99, , , ,18,16,4,1,2,3,5, ,9,1,1,1, , , , , ,10,5,11,2,8,19,2,.526124440527719
19898,1611,92211980,4,13,12,1,1,17, , , , , , , , , ,1,1,7, ,3,1,1,3, , , ,2, , , , , ,2,99, , , ,22,20,1, , , , , ,1,10,1,1, , , , , ,6,5,5,1,8,16,2,.909585429853511
18053,1369,94238549,3,4,3,1,1,1, , , , , , , , , ,1,1,6, ,4,4, , , , , ,1,1,2,3,4,5,2,99, , , ,6,1,4,2,3,5, , ,7,12,1,1, , , , , ,4,5,3,1,7,4,1,1.98814280257947
14456,976,92235154,3,5,4,1,2,5, , , , , , , , , ,1,1,6, ,3,4, , , , , ,1,1,2,4, , ,2,99, , , ,6,1,1, , , , , ,4,7,1,1, , , , , ,5,5,3,2,7,16,1,1.40554674611155
12365,751,92102750,3,5,4,1,1,12, , , , , , , , , ,1,1,6, ,11,4, , , , , ,2, , , , , ,2,99, , , ,13,1,1, , , , , ,1,10,1,1, , , , , ,8,3,2,2,10,2,1,.734536274535982
13715,909,92206366,3,8,7,1,1,4, , , , , , , , , ,1,1,6, ,3,3,4, , , , ,1,1,2,4,5,6,2,99, , , ,7,3,1, , , , , ,1,11,1,1, , , , , ,7,3,5,2,6,13,2,.566392263145488
12445,762,92105662,3,4,3,1,1,12, , , , , , , , , ,1,1,6, ,4,3,2, , , , ,1,4, , , , ,2,99, , , ,11,5,10,1, , , , ,1,9,1,1, , , , , ,6,6,2,2,10,19,1,1.33285424677169
15849,1136,94202547,3,5,4,1,1,13, , , , , , , , , ,1,1,6, ,7,1,2, , , , ,2, , , , , ,2,99, , , ,13,7,3,3, , , , ,1,7,1,1, , , , , ,6,3,9,2,10,1,1,.820380974310195
12658,789,92111966,3,4,3,1,1,12, , , , , , , , , ,1,1,6, ,3,1,4,6, , , ,2, , , , , ,2,99, , , ,15,11,1, , , , , ,1,8,1,1, , , , , ,6,4,5,2,6,1,2,1.01844601048939
12998,828,92124779,3,5,4,1,1,12, , , , , , , , , ,1,1,6, ,4,1,2,3, , , ,2, , , , , ,2,99, , , ,11,11,1, , , , , ,1,4,1,1, , , , , ,7,3,5,2,6,19,2,.629764386967717
16122,1172,94206119,3,10,9,1,1,23,24, , , , , , , , ,1,1,6, ,7,1,1,2,3, , ,1,6, , , , ,2,99, , , ,13,13,1, , , , , ,9,9,1,1, , , , , ,4,5,3,1,7,6,2,1.54766705330789
13677,906,92204956,3,10,9,1,1,26, , , , , , , , , ,1,1,6, ,4,3,4,6, , , ,2, , , , , ,2,99, , , ,16,13,10,2, , , , ,11,12,1,1, , , , , ,8,6,3,1,8,10,2,.809199747457248
17796,1353,94233672,3,9,8,1,1,21, , , , , , , , , ,1,1,6, ,7,1,1,2,3, , ,1,6, , , , ,2,99, , , ,17,15,1, , , , , ,10,12,1,1, , , , , ,8,4,13,2,7,20,2,.786696002266528
6309,290,92101630,2,4,3,1,1,1, , , , , , , , , ,1,1,5, ,4,4, , , , , ,1,2,4,6, , ,2,99, , , ,6,1,1, , , , , ,1,7,1,1, , , , , ,8,5,2,2,10,19,2,.906748642434736
6724,325,92111692,2,4,3,1,2,1, , , , , , , , , ,1,1,5, ,1,4, , , , , ,1,2,3,4,6, ,2,99, , , ,9,1,1, , , , , ,7,5,1,7,3, , , , ,5,5,3,2,7,19,2,2.27932817575844
9801,547,92261089,2,4,3,3, ,2, , , , , , , , , ,1,1,5, ,4,4, , , , , ,1,4, , , , ,2,99, , , ,6,1,1, , , , , ,1,2,1,1, , , , , ,5,4,5,1,6,22,1,.522815595379817
8127,441,92206366,2,7,6,1,1,4, , , , , , , , , ,1,1,5, ,4,4, , , , , ,1,1,2,3,4,6,2,99, , , ,8,1,4,1,3,5, , ,1,7,1,1, , , , , ,7,3,5,2,6,13,2,.68366319930267
9183,505,92238438,2,3,2,1,2,5, , , , , , , , , ,1,1,5, ,5,4, , , , , ,2, , , , , ,2,99, , , ,2,1,1, , , , , ,4,10,1,1, , , , , ,6,4,2,2,10,18,1,1.255480945948
11206,652,93203417,2,5,4,1,2,6, , , , , , , , , ,1,1,5, ,7,4, , , , , ,1,1,4, , , ,2,99, , , ,6,1,1, , , , , ,1,9,1,7,3, , , , ,9,3,11,2,2,4,2,.290844565514658
6845,338,92115172,2,5,4,1,2,12, , , , , , , , , ,1,1,5, ,4,4, , , , , ,1,2,4, , , ,2,99, , , ,8,1,9,65, , , , ,7,3,1,1, , , , , ,5,5,1,2,7,1,2,1.23907981859715
7742,408,92142501,2,7,6,1,2,12, , , , , , , , , ,1,1,5, ,1,4, , , , , ,1,1,4, , , ,2,99, , , ,13,1,1, , , , , ,11,3,1,1, , , , , ,8,4,11,2,8,1,2,.631949597557468
7781,412,92143835,2,6,5,1,1,12, , , , , , , , , ,1,1,5, ,4,4, , , , , ,1,2,4, , , ,2,99, , , ,8,1,1, , , , , ,1,3,1,1, , , , , ,6,6,1,2,9,3,2,.650374702277729
10365,587,93108107,2,7,6,1,1,12, , , , , , , , , ,1,1,5, ,10,4, , , , , ,1,3,4,6, , ,2,99, , , ,12,1,1, , , , , ,10,1,3,1, , , , , ,8,5,13,2,6,1,2,.631949597557468
8749,479,92225483,2,5,4,1,2,13, , , , , , , , , ,1,1,5, ,3,4, , , , , ,1,2,4, , , ,2,99, , , ,6,1,1, , , , , ,7,9,1,1, , , , , ,4,5,5,1,5,16,2,.755914585079206
8959,494,92232200,2,5,4,1,2,13, , , , , , , , , ,1,1,5, ,3,1,6, , , , ,2, , , , , ,2,99, , , ,6,5,1, , , , , ,4,9,1,4,3, , , , ,6,4,4,1,8,20,1,.909413682510972
11684,697,93211419,2,6,5,1,2,9, , , , , , , , , ,1,1,5, ,4,3,1, , , , ,1,2,4, , , ,2,99, , , ,13,5,1, , , , , ,1,9,1,1, , , , , ,6,5,2,3,10,20,1,1.16590881854609
7121,353,92122674,2,5,4,1,1,13, , , , , , , , , ,1,1,5, ,1,1,4, , , , ,2, , , , , ,2,99, , , ,10,6,1, , , , , ,9,1,1,1, , , , , ,5,5,4,1,6,1,1,2.5982497397096
7631,398,92138180,2,5,4,1,1,9, , , , , , , , , ,1,1,5, ,7,1,3,4, , , ,2, , , , , ,2,99, , , ,8,7,5,2,5, , , ,7,7,1,1, , , , , ,6,4,5,1,7,1,2,.527826901139639
12072,727,93217750,2,5,4,1,1,12, , , , , , , , , ,1,1,5, ,3,1,6, , , , ,2, , , , , ,2,99, , , ,8,8,1, , , , , ,1,1,1,1, , , , , ,11,2,13,4,2,18,1,.452628681971576
8714,476,92224222,2,6,5,1,1,12, , , , , , , , , ,1,1,5, ,3,1,6, , , , ,2, , , , , ,2,99, , , ,12,11,4,1,2,3, , ,8,9,1,1, , , , , ,10,5,13,2,5,20,2,.409882267129864
11991,719,93216446,2,7,5,1,1,29, , , , , , , , , ,1,1,5, ,4,1,5, , , , ,2, , , , , ,2,99, , , ,13,13,1, , , , , ,9,12,1,1, , , , , ,4,3,12,1,5,10,2,1.03436368228524
8084,440,92204956,2,10,9,1,2,62, , , , , , , , , ,1,1,5, ,4,1,4, , , , ,2, , , , , ,2,99, , , ,16,15,1, , , , , ,11,13,1,1, , , , , ,8,6,3,1,8,10,2,.850514795490619
10430,592,93109390,2,27,26,1,2,62, , , , , , , , , ,1,1,5, ,7,2,5, , , , ,2, , , , , ,2,99, , , ,22,23,4,3, , , , ,1,12,1,1, , , , , ,9,5,13,2,5,3,2,.709506913090116
6790,334,92113400,2,5,4,1,1,4, , , , , , , , , ,1,1,4, ,3,4, , , , , ,1,2,4,7, , ,2,99, , , ,4,1,1, , , , , ,8,5,1,1, , , , , ,5,5,3,1,6,1,1,2.5982497397096
11992,720,93216467,2,4,3,1,2,6, , , , , , , , , ,1,1,4, ,3,4, , , , , ,2, , , , , ,2,99, , , ,8,1,1, , , , , ,8,11,1,1, , , , , ,5,5,3,1,6,18,2,2.17952455791145
9550,525,92250739,2,6,5,1,1,12, , , , , , , , , ,1,1,4, ,7,4, , , , , ,1,2,3,4,6, ,2,99, , , ,11,1,4,1, , , , ,7,8,1,1, , , , , ,4,5,1,1,8,16,2,.969116143467328
11090,642,93201311,2,4,3,1,1,12, , , , , , , , , ,1,1,4, ,11,4, , , , , ,1,2,3,4,5,7,2,99, , , ,8,1,1, , , , , ,7,7,1,1, , , , , ,4,5,3,1,6,4,1,2.41405437471119
11263,656,93204245,2,7,6,1,1,12, , , , , , , , , ,1,1,4, ,3,4, , , , , ,1,2,3,4,5, ,2,99, , , ,11,1,4,2,5, , , ,7,13,1,1, , , , , ,4,6,5,1,8,20,2,1.02943517094588
7780,411,92143812,2,8,7,1,2,13, , , , , , , , , ,1,1,4, ,1,4, , , , , ,1,2,4, , , ,2,99, , , ,22,1,11,1, , , , ,8,4,1,1, , , , , ,7,6,1,2,10,1,2,.631949597557468
8724,478,92224614,2,5,4,1,1,13, , , , , , , , , ,1,1,4, ,3,4, , , , , ,1,2,3,4,6, ,2,99, , , ,6,1,1, , , , , ,4,13,1,1, , , , , ,7,6,1,2,9,13,2,.533260112442057
10168,565,93104642,2,5,4,1,1,13, , , , , , , , , ,1,1,4, ,4,4, , , , , ,1,2,4,7, , ,2,99, , , ,8,1,7,1,3, , , ,5,9,1,1, , , , , ,10,3,11,2,4,1,2,.32100103977304
11999,722,93216559,2,6,5,1,2,4, , , , , , , , , ,1,1,4, ,3,3,3,6, , , ,1,1, , , , ,2,99, , , ,8,2,2,2,65, , , ,4,8,1,1, , , , , ,3,5,4,1,3,18,2,1.22901422866026
11726,701,93212155,2,5,4,1,2,12, , , , , , , , , ,1,1,4, ,3,3,3, , , , ,1,1,2,3,4, ,2,99, , , ,11,2,1, , , , , ,4,11,1,1, , , , , ,5,5,4,1,6,18,2,1.25858601626471
11366,670,93206211,2,5,4,1,1,9, , , , , , , , , ,1,1,4, ,4,1,4, , , , ,2, , , , , ,2,99, , , ,7,7,1, , , , , ,8,14,2,1, , , , , ,7,6,4,2,9,16,2,.462174257356622
11933,711,93215608,2,5,4,1,2,9, , , , , , , , , ,1,1,4, ,3,1,2, , , , ,2, , , , , ,2,99, , , ,7,8,1, , , , , ,1,1,1,1, , , , , ,6,6,1,2,9,17,2,.56359986206189
7751,409,92142949,2,5,4,1,1,9, , , , , , , , , ,1,1,4, ,2,1,4,5, , , ,1,6, , , , ,2,99, , , ,10,9,4,4, , , , ,9,1,1,1, , , , , ,7,3,5,2,8,19,2,.523610141254366
10241,570,93105764,2,5,4,1,1,12, , , , , , , , , ,1,1,4, ,1,1,1,2, , , ,2, , , , , ,2,99, , , ,11,9,5,2,3, , , ,1,10,1,1, , , , , ,5,5,3,1,6,6,2,1.1593570359291
11279,661,93204457,2,5,4,1,1,12, , , , , , , , , ,1,1,4, ,3,2,4, , , , ,1,3, , , , ,2,99, , , ,11,9,1, , , , , ,11,8,1,1, , , , , ,3,5,5,1,6,16,1,1.43503128022498
8148,444,92207022,2,5,4,1,1,12, , , , , , , , , ,1,1,4, ,2,1,3,4, , , ,2, , , , , ,2,99, , , ,15,10,1, , , , , ,7,1,1,1, , , , , ,5,5,5,1,5,18,2,1.25858601626471
6734,327,92111952,2,10,9,1,1,26, , , , , , , , , ,1,1,4, ,7,3,2,3, , , ,2, , , , , ,2,99, , , ,18,16,2,3,5, , , ,10,1,1,1, , , , , ,10,5,11,2,9,19,2,.587914045051141
2658,136,92143771,1,5,4,1,1,3, , , , , , , , , ,1,1,3, ,7,4, , , , , ,1,2,4, , , ,2,99, , , ,15,1,1, , , , , ,1,10,1,1, , , , , ,2,3,14,1,2,3,1,5.1727794440758
1606,88,92124110,1,13,12,1,1,5, , , , , , , , , ,1,1,3, ,5,4, , , , , ,1,2,3,4, , ,2,99, , , ,7,1,1, , , , , ,9,2,1,5,3, , , , ,8,5,13,2,8,3,2,.61542178917224
2227,116,92134890,1,5,4,1,1,12, , , , , , , , , ,1,1,3, ,4,4, , , , , ,2, , , , , ,2,99, , , ,22,1,1, , , , , ,13,8,1,1, , , , , ,5,4,1,2,8,6,1,1.73747149523788
2351,119,92137019,1,9,8,1,1,12, , , , , , , , , ,1,1,3, ,8,4, , , , , ,1,3, , , , ,2,99, , , ,14,1,1, , , , , ,11,9,1,4,4, , , , ,6,6,2,1,9,1,2,.892258278464956
3454,165,92209432,1,3,2,1,2,12, , , , , , , , , ,1,1,3, ,1,4, , , , , ,1,2,4,6, , ,2,99, , , ,8,1,1, , , , , ,7,4,1,1, , , , , ,3,5,5,1,7,4,2,.863787298517079
3922,181,92217714,1,4,3,1,2,12, , , , , , , , , ,1,1,3, ,4,4, , , , , ,1,2,3,4,6, ,2,99, , , ,8,1,5,2, , , , ,8,9,1,1, , , , , ,4,5,3,1,7,17,2,1.0752111420625
3974,184,92218735,1,8,7,1,1,12, , , , , , , , , ,1,1,3, ,7,4, , , , , ,1,4,5,7, , ,2,99, , , ,12,1,88,2, , , , ,88,9,1,1, , , , , ,9,4,2,2,10,18,1,.649634419799144
4567,208,92229648,1,8,7,1,1,12, , , , , , , , , ,1,1,3, ,4,4, , , , , ,1,2,4,5,6, ,2,99, , , ,5,1,1, , , , , ,9,3,1,1, , , , , ,7,3,9,2,6,20,1,.701015764030613
4707,215,92232081,1,6,5,1,1,12, , , , , , , , , ,1,1,3, ,5,4, , , , , ,1,2,3,4,6,7,2,99, , , ,10,1,1, , , , , ,9,9,1,1, , , , , ,6,5,3,2,8,5,1,1.05294777520965
4997,225,92237013,1,6,5,1,1,12, , , , , , , , , ,1,1,3, ,3,4, , , , , ,2, , , , , ,2,99, , , ,11,1,1, , , , , ,88,9,1,1, , , , , ,2,3,14,1,3,10,2,5.12987131656545
5460,246,92246080,1,6,5,1,1,12, , , , , , , , , ,1,1,3, ,3,4, , , , , ,1,2,3,4, , ,2,99, , , ,11,1,4,1, , , , ,9,3,1,1, , , , , ,5,5,5,1,6,20,2,1.42652792377848
6214,282,92263799,1,8,7,1,1,12, , , , , , , , , ,1,1,3, ,1,4, , , , , ,1,4,6,7, , ,2,99, , , ,11,1,1, , , , , ,1,9,1,1, , , , , ,7,3,2,2,9,16,1,.699558623936068
5868,263,92254670,1,3,2,1,1,13, , , , , , , , , ,1,1,3, ,1,4, , , , , ,1,2,4,6, , ,2,99, , , ,3,1,5,2,5, , , ,1,1,1,1, , , , , ,4,6,5,1,6,15,2,.635901401815265
5979,270,92257321,1,7,6,1,2,13, , , , , , , , , ,1,1,3, ,3,4, , , , , ,1,1,2,3,4,6,2,99, , , ,5,1,4,1,5, , , ,1,3,2,1, , , , , ,7,5,5,2,5,4,2,.601645936746289
4952,224,92236183,1,6,5,1,1,12, , , , , , , , , ,1,1,3, ,4,3,1,2,3, , ,1,1,2,3,4, ,2,99, , , ,6,5,4,1,2,3,5, ,4,5,1,1, , , , , ,4,5,5,2,7,20,2,1.0158168202831
4754,218,92232792,1,5,4,1,1,12, , , , , , , , , ,1,1,3, ,2,1,6, , , , ,1,3, , , , ,2,99, , , ,8,6,1, , , , , ,9,3,1,10,65, , , , ,4,5,5,1,4,20,2,.942941509076126
257,15,92103753,1,5,4,1,1,9, , , , , , , , , ,1,1,3, ,2,1,6, , , , ,2, , , , , ,2,99, , , ,8,7,1, , , , , ,1,4,1,1, , , , , ,7,5,5,2,7,1,2,.557665606835683
4213,194,92222919,1,5,4,1,1,12, , , , , , , , , ,1,1,3, ,3,1,4, , , , ,1,6, , , , ,2,99, , , ,10,10,1, , , , , ,1,1,1,1, , , , , ,3,3,6,1,5,9,2,1.28202473922905
602,38,92108586,1,7,6,1,1,4,5,6, , , , , , , ,1,1,2, ,4,4, , , , , ,1,1,6, , , ,2,99, , , ,10,1,1, , , , , ,7,1,1,1, , , , , ,5,6,5,1,6,19,2,1.42480506090017
990,60,92113939,1,5,4,1,1,4, , , , , , , , , ,1,1,2, ,3,4, , , , , ,1,2,4, , , ,2,99, , , ,10,1,3,3, , , , ,1,11,1,1, , , , , ,6,6,3,2,10,19,1,.975081571009127
287,17,92104185,1,6,5,1,1,5, , , , , , , , , ,1,1,2, ,5,4, , , , , ,2, , , , , ,2,99, , , ,7,1,1, , , , , ,4,4,1,1, , , , , ,5,5,5,1,6,1,1,1.87501239369669
5982,271,92257396,1,6,5,1,1,5, , , , , , , , , ,1,1,2, ,3,4, , , , , ,2, , , , , ,2,99, , , ,9,1,6,4, , , , ,10,9,2,1, , , , , ,4,5,3,1,8,16,1,1.12473841142871
537,32,92107518,1,5,4,1,1,6, , , , , , , , , ,1,1,2, ,4,4, , , , , ,1,2,3, , , ,2,99, , , ,7,1,7,1,2,3, , ,1,5,1,1, , , , , ,7,6,6,2,10,3,1,.649872258997178
4304,200,92224657,1,5,4,1,2,6, , , , , , , , , ,1,1,2, ,1,4, , , , , ,2, , , , , ,2,99, , , ,6,1,1, , , , , ,10,9,1,1, , , , , ,11,5,13,2,8,7,1,.467998404506332
6043,276,92258649,1,8,7,1,1,9, , , , , , , , , ,1,1,2, ,7,4, , , , , ,1,1,2,3,4, ,2,99, , , ,8,1,1, , , , , ,9,7,1,1, , , , , ,6,6,1,1,7,5,1,1.05294777520965
654,40,92109178,1,11,10,1,1,12, , , , , , , , , ,1,1,2, ,3,4, , , , , ,1,1,2,3,4,5,2,99, , , ,11,1,5,1,2,5, , ,8,1,3,1, , , , , ,6,5,5,2,6,3,2,.8918818229522
697,43,92109709,1,10,9,1,1,12, , , , , , , , , ,1,1,2, ,3,4, , , , , ,2, , , , , ,2,99, , , ,15,1,1, , , , , ,10,3,1,1, , , , , ,7,5,5,2,7,19,1,.717554002572077
1335,75,92119873,1,5,4,1,1,12, , , , , , , , , ,1,1,2, ,1,4, , , , , ,1,2,4, , , ,2,99, , , ,17,1,1, , , , , ,9,8,1,1, , , , , ,6,5,2,2,9,14,2,.795784512037267
1397,76,92120869,1,8,7,1,1,12, , , , , , , , , ,1,1,2, ,4,4, , , , , ,1,2,4, , , ,2,99, , , ,11,1,1, , , , , ,8,3,1,1, , , , , ,7,6,2,2,10,19,1,.700169125127279
2976,150,92201250,1,6,5,1,1,12, , , , , , , , , ,1,1,2, ,5,4, , , , , ,1,2,4, , , ,2,99, , , ,10,1,1, , , , , ,9,6,1,1, , , , , ,5,6,3,1,7,20,2,1.42652792377848
3183,157,92204813,1,5,4,1,2,12, , , , , , , , , ,1,1,2, ,7,4, , , , , ,2, , , , , ,2,99, , , ,10,1,9,2,5, , , ,1,9,1,1, , , , , ,10,2,8,2,9,20,1,.461316138631331
3585,171,92211528,1,8,7,1,1,12, , , , , , , , , ,1,1,2, ,3,4, , , , , ,1,2,3,4,5,6,2,99, , , ,12,1,3,1, , , , ,1,10,6,10,3, , , , ,8,5,1,1,9,12,2,.60450374976914
4005,185,92219181,1,6,5,1,1,12, , , , , , , , , ,1,1,2, ,8,4, , , , , ,1,2,3,4,5,6,2,99, , , ,5,1,4,1,2,5, , ,1,2,1,1, , , , , ,6,5,11,2,2,11,2,.872751544224771
4945,223,92236100,1,9,8,1,1,12, , , , , , , , , ,1,1,2, ,11,4, , , , , ,1,2,4,5,6, ,2,99, , , ,10,1,11,2, , , , ,9,10,2,4,4, , , , ,11,2,11,2,2,18,2,.576645187473011
5067,227,92238274,1,7,6,1,1,12, , , , , , , , , ,1,1,2, ,4,4, , , , , ,1,2,4, , , ,2,99, , , ,12,1,1, , , , , ,1,3,1,1, , , , , ,8,3,11,2,8,20,2,.601298849922923
5797,258,92253017,1,8,7,1,1,12, , , , , , , , , ,1,1,2, ,3,4, , , , , ,1,2,3,4,6, ,2,99, , , ,10,1,2,3, , , , ,7,9,2,1, , , , , ,8,6,1,1,9,7,2,.600268134386839
264,16,92103894,1,6,5,1,1,13, , , , , , , , , ,1,1,2, ,1,4, , , , , ,1,1, , , , ,2,99, , , ,10,1,1, , , , , ,11,6,1,1, , , , , ,8,4,5,1,8,19,2,.600572642289663
